Token                          Frequency
-----------------------------  ---------
to                                     2
they                                   2
detail                                 1
basis                                  1
subjects                               1
for                                    1
fraud                                  4
avoiding                               2
maintaining                            1
sufficient                             1
distortion                             1
of                                     5
more                                   1
are                                    1
his                                    1
facts                                  1
interest                               1
phrase                                 1
prevention                             1
performing                             2
2011                                   1
her                                    1
activities                             2
duties                                 1
be                                     1
these                                  1
competence                             1
work                                   1
high-quality                           1
certified                              1
acfe                                   1
or                                     1
code                                   2
colleagues                             1
professional                           2
assignments                            1
include                                1
and                                    5
that                                   1
planning                               1
will                                   1
several                                1
examiners                              1
opinions                               1
examination                            1
other                                  1
ethics                                 2
evidence                               1
supervising                            1
examiner                               1
assistants                             1
4.1005                                 1
rule                                   1
confidential                           1
conflicts                              1
define                                 1
with                                   1
collectively                           1
later                                  1
a                                      1
establish                              1
the                                    4
refers                                 1
in                                     4
deterrence                             1
rules                                  1
manual                                 1
obtaining                              1
relations                              1
diligence                              2
discussed                              1

Totals:                     71        97
