Token                          Frequency
-----------------------------  ---------
placing                                1
encompasses                            1
developed                              1
designation                            2
advances                               1
nois                                   1
materials                              1
florida                                1
06—atlanta                             1
right                                  5
inquire                                1
purchases                              5
purchaser                              3
essential                              2
portland                               1
smurfing                               3
lump-sum                               1
asset                                  2
possibly                               2
cleared                                1
3                                      5
purchased                              5
2                                      6
1                                      8
7                                      6
6                                      6
5                                      3
4                                      4
payments                              16
codes                                  2
:                                     18
9                                      3
8                                      3
instruments                            6
09—minneapolis                         1
relies                                 2
justify                                1
secondary                              1
made                                   8
cashed                                10
net                                    1
times                                  3
guidelines                             1
seattle                                1
usually                               14
notation                               1
c                                      1
illegal                                1
a                                    220
illegible                              1
n                                      1
willingly                              1
essentially                            1
i                                      1
analyze                                1
new                                   11
including                              5
s                                      2
legend                                 1
having                                 1
casher                                 1
advice                                 1
basis                                  3
reluctant                              1
treasurer                              1
entity                                 3
regulations                            7
lead                                   4
consumer                               1
policies                               2
expenses                               2
basic                                  2
description                            4
processing                             4
derived                                1
partnership                            2
retained                               2
automatic                              1
display                                2
§                                      1
double                                 2
much                                   4
mississippi                            1
country                                1
involved                               3
miscellaneous                          2
often                                  7
column                                 1
areas                                  1
active                                 1
orders                                 8
ncy                                    1
treasury                               2
make                                   5
update                                 1
credited                               1
texas                                  1
indication                             1
intricacies                            1
through                                7
business                               7
completely                             1
possible                               4
following                              7
especially                             2
keeps                                  1
ventures                               1
assigned                               4
equal                                  1
main                                   2
entire                                 1
which                                 29
adding                                 1
suspicious                             2
issuers                                1
diverse                                1
deposit                               31
blackjack                              1
liability                              2
help                                   5
errors                                 1
administer                             1
social                                 2
recently                               1
notations                              1
report                                 3
carrier                                1
discrepancy                            1
reported                               1
elect                                  1
interpreted                            1
identify                               9
07—chicago                             1
puerto                                 2
disclosure                             2
branch                                 4
western                                2
upon                                   1
europe                                 1
maturity                               2
memo                                  11
assistance                             1
disclosing                             2
easily                                 5
space                                  1
express                                2
rather                                 2
note                                   4
identifying                            2
held                                   8
officials                              1
unknown                                3
websites                               1
sending                                1
alien                                  1
apply                                  1
single                                 1
reflects                               1
contains                               4
entered                               11
where                                  8
scanned                                1
fictitious                             1
proceed                                1
writes                                 2
dakota                                 2
nine-digit                             1
contract                               3
easier                                 1
consumers                              1
here                                   1
designated                             2
cedar                                  1
filing                                 2
ccount                                 1
drawbacks                              1
corporate                              3
perpetrators                           1
security                               5
guides                                 1
requirements                           7
investment                             1
rate                                   2
cohorts                                1
below                                  4
relevant                               2
major                                  3
alias                                  2
into                                  20
instrument                             2
offer                                  3
algorithmic                            1
balances                               4
identification                         5
totals                                 1
estate                                 5
technique                              2
limited                                4
filtered                               1
appear                                 3
understand                             1
maintain                               1
etc                                    3
conducted                              3
its                                    5
practices                              1
although                               5
furs                                   1
declined                               1
governmental                           3
year                                   1
remittance                             1
selling                                1
california                             2
deposited                             24
under                                 15
structures                             1
system                                 6
bottom                                 2
eliminate                              1
mailed                                 1
sort                                   1
jurisdictions                          1
nonbank                                1
oklahoma                               2
cosigned                               1
expensive                              1
significant                            3
written                               20
denver                                 1
localities                             2
unincorporated                         1
buffalo                                1
consulting                             1
•                                     31
documents                              9
…                                      2
trust                                  2
liable                                 1
tennessee                              1
alter                                  1
michigan                               1
remain                                 1
invested                               1
printed                                3
vermont                                1
reflect                                3
transmittal                            1
withdrawn                              1
reflected                              1
perform                                1
requiring                              2
must                                  15
card                                  26
non-bank                               1
demand                                 3
presented                              3
prohibits                              1
places                                 2
preliminary                            1
vary                                   2
enables                                1
nsf                                    1
cash                                  19
islands                                2
several                                2
circumstantial                         1
case                                   1
attempt                                1
legal                                  8
illinois                               1
governing                              1
pay-downs                              1
dubuque                                1
indirect                               4
unusual                                4
agrees                                 1
debit                                 10
administrative                         1
placed                                 3
delivered                              2
reign                                  1
05—richmond                            1
general                                3
rhode                                  1
charge                                 5
originally                             1
designate                              2
high                                   1
cashier                               13
very                                   2
transmitter                            1
automated                              4
3.820                                  1
3.821                                  1
3.822                                  1
3.823                                  1
3.824                                  1
draw                                   1
3.815                                  1
consuming                              2
3.814                                  1
certificate                            2
3.817                                  1
3.816                                  1
segregates                             1
stock                                  6
3.819                                  1
3.818                                  1
working                                1
endorsement                            3
exchange                               7
sold                                   1
cancelled                              1
microfilmed                            1
3.812                                  1
like                                   3
3.813                                  1
receiving                              1
reconstructing                         1
3.810                                  1
3.811                                  1
3.806                                  1
not                                   32
many                                   6
san                                    3
3.809                                  1
now                                    2
3.808                                  1
3.807                                  1
sioux                                  1
bearing                                1
years                                  2
some                                  15
outside                                1
constantly                             1
centers                                2
line                                   1
computers                              1
authorizes                             1
ohio                                   1
genuine                                1
maintains                              2
probably                               1
explanatory                            1
district                               3
fighter                                1
funds-transfer                         1
authorized                             4
readily                                3
corner                                 1
payee                                  4
payees                                 1
already                                2
process                                7
broken                                 1
3.829                                  1
broadly                                1
3.828                                  1
3.827                                  1
3.826                                  1
databases                              3
successfully                           1
3.825                                  1
tacoma                                 1
broker                                 5
proceeds                              11
renters                                1
casinos                                3
transaction                           21
offshore                               2
subjects                               4
transit                                4
sources                                4
habits                                 1
accelerated                            2
toward                                 1
parties                                2
60–69                                  1
fund                                   2
sure                                   3
expenditures                           2
agencies                               4
permission                             1
samoa                                  2
policy                                 1
known                                  3
town                                   1
demands                                1
payable                                2
paper                                  5
issue                                  1
spreadsheets                           7
state                                  7
currently                              1
encoded                                3
because                               10
another                                8
officers                               1
rider                                  1
details                                2
collateral                             3
making                                 1
certificates                           3
cashing                                1
negotiated                             4
check                                106
came                                   2
addition                               4
geographical                           2
address                                3
target                                 4
special                                5
benefits                               2
detroit                                1
average                                1
need                                   1
total                                  3
using                                  6
inputting                              1
privileges                             1
over                                   2
search                                 5
located                                5
accompanied                            1
features                               1
asked                                  1
patterns                               1
moving                                 1
repayments                             1
companies                              5
traveler                              10
number                                41
digit                                  4
fighters                               1
cities                                 6
separately                             1
discovery                              1
computer                               2
typically                              2
before                                 4
examiner                              17
seeking                                1
handling                               1
pivot                                  1
lawsuit                                2
could                                  7
minneapolis                            1
examined                               1
entries                                1
desires                                1
odd-amount                             1
12—san                                 1
firm                                   2
traditional                            1
desired                                1
boat                                   1
ones                                   1
renewals                               1
represent                              1
history                                1
charts                                 1
conform                                1
micr                                   5
returned                               2
comments                              10
banks                                 51
methods                                3
warrant                                3
considerable                           1
same                                   9
enough                                 1
who                                   14
cleveland                              1
suspicion                              1
pertaining                             1
affairs                                1
ken                                    1
paying                                 2
key                                    1
claims                                 2
populated                              1
environments                           1
sale                                   2
investigations                         2
against                                3
examiners                             31
example                                7
odd                                    1
salt                                   1
carefully                              1
safe-deposit                           4
$10,000                                4
vice                                   1
department                             8
set                                    4
today                                  3
former                                 2
purchase                               9
area                                   2
payor                                  1
employee                               1
types                                  8
individuals                            5
stamp                                  2
five                                   1
correspondence                         1
recrediting                            2
still                                  1
persons                                3
see                                    4
connecticut                            1
cardholder                             4
depositor                              9
they                                  18
collar                                 1
nine                                   1
court                                  2
receipt                                2
impose                                 1
third-party                            2
combine                                1
only                                   7
rented                                 1
standardized                           1
worth                                  2
central                                3
services                               5
tying                                  1
delivers                               2
submitted                              2
summons                                2
third                                  1
responses                              1
include                               15
---                                    1
funds                                 16
carolina                               1
nevada                                 1
them                                   5
then                                   5
right-hand                             1
records                               75
different                              2
incoming                               1
indiana                                1
pertinent                              2
subject                               27
occurred                               1
collusion                              2
detailed                               3
closed                                 3
dollar                                 1
cheaper                                1
counsel                                1
similar                                4
files                                  8
biller                                 1
cross-reference                        1
out-of-                                1
differ                                 1
signatory                              3
within                                 2
accuracy                               2
design                                 1
filed                                  2
second                                 1
location                               5
§§                                     1
uncover                                2
wyoming                                1
permit                                 1
u.s                                    4
computing                              1
procedures                             3
results                                3
someone                                3
sets                                   1
1990s                                  1
examinations                           1
such                                  28
copied                                 1
issued                                14
spelling                               1
offering                               1
rental                                 1
machine                                5
describing                             1
statement                             10
copies                                 8
issuer                                 1
emerging                               1
called                                 3
this                                  42
release                                1
equivalent                             3
concept                                1
recognized                             1
illustrated                            1
becomes                                3
