Token                          Frequency
-----------------------------  ---------
retrievers                             2
they                                   1
information                            2
person                                 1
for                                    1
agencies                               1
by                                     1
fraud                                  1
researches                             1
in                                     1
sources                                1
manual                                 1
of                                     1
document                               2
obtain                                 1
3.457                                  1
are                                    1
visiting                               1
examiners                              1
2011                                   1
investigation                          1
government                             1
hire                                   1

Totals:                     23        26
