Token                          Frequency
-----------------------------  ---------
they                                   1
404(b                                  1
yield                                  1
for                                    4
street                                 2
score                                  3
its                                    1
council                                3
break                                  1
of                                     7
free                                   1
reform                                 2
created                                2
repay                                  1
2011                                   1
on                                     2
2010                                   1
activities                             1
industry                               1
bureau                                 2
services                               1
or                                     3
mortgage                               1
regulator                              1
companies                              3
became                                 1
incentives                             1
board                                  1
loan                                   1
entities                               2
include                                1
exempting                              1
pricing                                1
many                                   1
borrowers                              2
system                                 1
them                                   1
will                                   2
reserve                                2
oversight                              1
small                                  1
chaired                                1
offered                                1
additionally                           1
subject                                1
before                                 1
failed                                 1
most                                   1
decision                               1
penalties                              1
authority                              1
pose                                   1
subprime                               1
hiring                                 1
notice                                 1
ability                                1
ensure                                 1
•                                      4
payment                                1
a                                      6
us                                     1
lenders                                3
access                                 2
reasonable                             1
up                                     1
fdic                                   2
secretary                              1
bankers                                1
loans                                  4
new                                    3
sits                                   1
including                              1
inflate                                1
part                                   1
public                                 1
brokers                                1
to                                    15
transactions                           1
affects                                1
transaction                            1
regulations                            2
firms                                  1
by                                     3
consumer                               3
fraud                                  2
must                                   1
broker-dealers                         1
auditors                               1
trapped                                1
more                                   1
would                                  2
action                                 1
credit                                 4
non-bank                               1
be                                     1
protection                             3
dodd-frank                             2
financial                             10
prohibits                              2
so                                     1
veto                                   1
consumers                              6
effort                                 1
cost                                   1
and                                    7
risk-based                             1
that                                   6
encourage                              1
company                                1
called                                 1
regulation                             2
examiners                              1
known                                  1
regulated                              1
treasury                               1
make                                   1
large                                  1
sarbanes-oxley                         1
wall                                   2
regulate                               1
chairman                               1
have                                   2
stability                              2
from                                   1
includes                               1
pre-                                   1
believe                                1
consolidates                           1
adverse                                1
requirements                           1
investment                             1
bonuses                                1
risk                                   2
another                                1
federal                                3
allows                                 1
if                                     3
pay                                    1
making                                 1
issuing                                1
members                                1
1.944                                  1
institution                            2
law                                    1
is                                     1
it                                     1
disclosures                            1
gives                                  1
extend                                 2
into                                   2
as                                     3
pcaob                                  1
the                                   22
registration                           1
in                                     3
rules                                  1
section                                1
manual                                 1
negatively                             1
effect                                 1
sec                                    1
an                                     1
steer                                  1
changing                               1
summer                                 1
negative                               1
their                                  2
spread                                 1
act                                    3
unaffordable                           1
adding                                 1
premiums                               1
costly                                 1

Totals:                    173       309
