Token                          Frequency
-----------------------------  ---------
does                                   1
double-negative                        1
to                                     1
they                                   1
opposite                               1
one                                    1
confusing                              1
wasn’t                                 1
used                                   1
didn’t                                 1
are                                    1
correct                                1
statements                             1
mean                                   1
suspect                                1
something                              1
right                                  1
be                                     1
or                                     1
a                                      1
answer                                 2
here                                   1
questions                              2
you                                    1
suggest                                1
the                                    1
should                                 1
and                                    1
not                                    1
that                                   1
interviewer                            1
what                                   1
often                                  1
an                                     1
double-negatives                       1
containing                             1
negative                               1
example                                1

Totals:                     38        40
