Token                          Frequency
-----------------------------  ---------
person                                 2
both                                   1
individual                             1
entity                                 3
show                                   1
by                                     1
corporation                            1
must                                   1
distinct                               1
who                                    2
of                                     2
although                               1
any                                    2
government                             1
directly                               1
substantial                            2
be                                     1
partnership                            1
element                                1
association                            1
or                                     6
under                                  1
enterprise                             5
director                               1
accountant                             1
and                                    2
not                                    3
violate                                1
that                                   1
involved                               1
associated                             2
owner                                  1
attorney                               1
management                             3
this                                   1
outside                                1
does                                   1
legal                                  2
other                                  2
have                                   1
legitimate                             1
from                                   1
includes                               2
was                                    1
authority                              2
organization                           1
officer                                1
union                                  1
employee                               1
defendant                              1
individuals                            1
employed                               1
statute                                1
with                                   2
is                                     1
illegal                                1
liable                                 1
a                                      2
consultant                             1
as                                     1
the                                    7
persons                                1
should                                 1
in                                     2
fact                                   1
an                                     7
group                                  1

Totals:                     67       108
