Token                          Frequency
-----------------------------  ---------
need                                   1
benefit                                1
noted                                  1
supports                               1
accounting                             1
follo                                  1
free                                   1
compared                               1
2011                                   7
adequacy                               1
these                                  2
once                                   1
&                                      3
$                                      8
fee                                    3
conditions                             1
2                                      1
discuss                                1
each                                   2
explain                                1
letters                                7
review                                15
before                                 1
made                                   1
_____                                  5
fraudulent                             1
allegation                             2
relied                                 1
inquiry                                1
consider                               1
]                                     13
current                                1
do                                     2
[                                     12
ex                                     1
d                                      1
b                                      1
c                                      1
a                                     24
wed                                    1
hour                                   2
insufficient                           1
days                                   2
exists                                 1
having                                 1
gathered                               1
x                                      1
discrepancies                          1
methods                                2
transactions                           2
envelope                               2
hotlines                               1
by                                     6
dear                                   6
policies                               4
has                                    1
expenses                               3
who                                    1
personnel                              5
would                                  1
any                                   10
bank                                   1
opinion                                2
invoices                               1
key                                    1
be                                    19
code                                   6
and                                   30
sign                                   2
detection                              5
determining                            1
against                                2
retainer                               4
examiners                              7
areas                                  1
active                                 1
example                                1
make                                   1
does                                   7
instituted                             1
set                                    1
department                             5
evidence                               7
existing                               2
through                                1
routine                                3
recommend                              1
business                               1
meets                                  2
following                              5
possible                               3
circulation                            2
name                                   9
statements                             1
employee                               2
all                                    4
law                                    3
at                                     6
as                                     9
audit                                  4
reaches                                1
main                                   1
appropriated                           1
entire                                 1
which                                  7
am                                     1
take                                   1
meeting                                1
there                                  2
an                                     8
lawful                                 4
approach                               1
they                                   1
abc                                    4
enclosed                               2
paragraph                              1
reproduced                             1
no                                     3
liability                              1
court                                  1
receipt                                2
highlight                              1
sufficient                             1
of                                    58
convenience                            1
given                                  2
among                                  1
testimonial                            2
report                                 5
on                                     5
misappropriation                       4
voluntary                              4
fully                                  1
services                               1
structure                              1
suitable                               1
support                                4
or                                     9
questions                              3
steps                                  2
board                                  1
include                                3
excluding                              1
performed                              1
month                                  2
will                                  16
recorded                               1
disclosure                             1
reporting                              1
records                                4
delivery                               1
upon                                   9
penses                                 1
uncovered                              1
subject                                2
followed                               2
thank                                  2
remaining                              2
rather                                 1
me                                     1
internal                              10
situation                              1
assurances                             4
completed                              1
appearances                            2
billed                                 3
per                                    2
additional                             1
proposal                               7
improvement                            1
account                                1
within                                 1
strengthen                             1
telephone                              2
being                                  2
evidence-gathering                     4
contains                               1
fraud                                 42
reproduction                           1
honest                                 1
procedures                            12
more                                   3
earliest                               1
results                                3
request                                1
action                                 1
investigation                          6
required                               1
appropriate                            4
such                                   5
assist                                 1
presents                               1
manuals                                1
included                               4
this                                  21
contracts/opinion                      6
from                                   5
requirements                           1
was                                    7
rate                                   2
extent                                 1
if                                     8
read                                   1
between                                1
zip                                    6
is                                    12
those                                  2
pursuant                               3
it                                     5
annual                                 2
facsimile                              2
depositions                            1
your                                   7
in                                    23
section                                4
remedy                                 1
necessary                              4
also                                   1
his/her                                1
found                                  1
changes                                1
limited                                3
irregularity                           1
discussion                             2
etc                                    1
conducted                              7
misappropriated                        3
its                                    1
flow                                   2
assure                                 1
esq                                    4
mr./ms                                 9
scheme                                 1
nature                                 2
interest                               1
procedural                             2
along                                  2
place                                  1
copy                                   2
responsibility                         1
books                                  7
reviewing                              1
adequate                               3
under                                  4
suggest                                2
system                                 6
30                                     2
recommendations                        3
conflict                               1
we                                    17
assurance                              1
inconclusive                           2
accordance                             4
collusive                              1
use                                    1
date                                   6
estimate                               1
differences                            1
resulting                              3
allegations                            1
personal                               1
designed                               3
deter                                  2
contrary                               1
come                                   2
deterrence                             5
cannot                                 2
up                                     1
expense                                1
part                                   1
to                                    39
recording                              1
provide                                4
misapplication                         1
ount                                   1
half                                   2
interviews                             5
perform                                2
must                                   1
meantime                               1
auditors                               3
takes                                  1
4.101                                  1
validity                               1
losses                                 1
control                                4
charges                                2
witnesses/personnel                    1
however                                2
so                                     2
associates                             3
intended                               1
properly                               1
that                                  15
assets                                 8
than                                   4
due                                    4
engagement                             8
legal                                  1
result                                 3
can                                    4
outlined                               2
weaknesses                             1
re                                     6
complete                               1
above                                  2
question                               2
attention                              2
outstanding                            3
yours                                  3
feel                                   1
accounts                               1
approval                               3
you                                    5
soon                                   1
______                                 4
general                                1
charge                                 2
determined                             2
certain                                1
operations                             1
our                                   16
employees                              1
for                                   13
city                                   6
are                                    8
page                                   1
briefly                                1
describe                               1
plus                                   2
information                            3
others                                 1
prevent                                1
not                                   17
present                                2
nor                                    1
predicated                             4
conclusion                             5
some                                   1
xyz                                    7
examination                           31
hesitate                               2
techniques                             4
contact                                1
paid                                   1
and/or                                 1
contracts                              1
3.1302                                 1
return                                 2
established                            1
appendix                               6
directors                              1
brie                                   1
based                                  4
but                                    3
herein                                 1
transaction                            1
invoice                                2
travel                                 2
rebilling                              2
were                                   5
please                                 8
signing                                2
parties                                1
photocopying                           2
pleased                                1
concerning                             4
letter                                 2
status                                 1
3.1307                                 1
3.1304                                 1
3.1303                                 1
3.1306                                 1
3.1305                                 1
occasioned                             1
fly                                    1
program                                1
company                               34
policy                                 3
hourly                                 1
management                             2
call                                   4
other                                  6
have                                   8
one                                    4
state                                  6
charted                                1
currently                              1
outsider                               1
purpose                                3
yz                                     1
because                                2
controls                               2
order                                  1
details                                2
during                                 1
full                                   1
$______                                1
exist                                  4
find                                   1
safeguarded                            1
detect                                 3
proactive                              3
sincerely                              6
with                                  13
circumstances                          4
check                                  2
potential                              2
the                                   87
addition                               2
publication                            2
manual                                 8
address                                6
applied                                2
assume                                 1
their                                  1

Totals:                    416      1543
