Token                          Frequency
-----------------------------  ---------
to                                     3
amendment                              1
using                                  1
for                                    1
no                                     1
trespass                               1
rights                                 1
exposing                               1
of                                     4
excluded                               1
criminal                               1
action                                 1
invasion                               1
litigation                             1
itself                                 1
be                                     2
however                                1
or                                     1
privacy                                1
seized                                 3
illegally                              3
against                                1
proceedings                            1
will                                   1
causes                                 1
might                                  1
other                                  1
common                                 1
evidence                               3
employer                               3
use                                    1
private                                1
below                                  1
discipline                             2
employee                               3
law                                    1
is                                     1
violation                              1
a                                      2
the                                    1
cannot                                 1
in                                     1
fourth                                 1
effect                                 1
there                                  1
an                                     2
public                                 1
prohibition                            1
described                              1

Totals:                     49        68
