Token                          Frequency
-----------------------------  ---------
they                                   1
test                                   1
for                                    2
no                                     1
everything                             1
awareness                              1
lure                                   1
of                                     5
over                                   1
help                                   1
are                                    2
laws                                   1
2011                                   1
on                                     2
margin                                 1
yourself                               1
something                              1
educated                               1
industry                               2
information                            8
prove                                  1
defined                                1
tying                                  1
identify                               1
or                                     1
under                                  2
again                                  1
discussing                             1
include                                1
not                                    5
ask                                    1
examples                               1
some                                   1
theft                                  1
different                              2
sort                                   1
jurisdictions                          1
courts                                 1
made                                   1
protect                                1
easy                                   1
best                                   1
1.887                                  1
hard                                   1
procedure                              1
crowded                                1
just                                   1
may                                    3
defining                               1
edge                                   1
scholars                               1
needs                                  1
a                                     11
establish                              1
should                                 1
cannot                                 2
what                                   6
statutes                               1
proprietary                            2
fishing                                1
competitor                             1
notes                                  1
keep                                   1
to                                    10
transactions                           1
but                                    1
provide                                1
subjects                               1
by                                     1
aware                                  1
show                                   1
fraud                                  1
though                                 1
must                                   1
has                                    2
potentially                            1
would                                  2
lunch                                  1
be                                     6
financial                              1
however                                1
intellectual                           1
property                               1
definitions                            1
and                                    3
knows                                  1
that                                   7
secrets                                2
often                                  1
efforts                                1
company                                3
constitutes                            1
examiners                              1
even                                   1
known                                  1
make                                   1
does                                   2
legal                                  1
decide                                 1
can                                    1
trade                                  7
have                                   1
one                                    1
from                                   1
restaurant                             1
protecting                             1
invaluable                             1
because                                1
organization                           1
protected                              1
if                                     2
generally                              1
deciding                               1
employee                               2
confidential                           3
law                                    1
is                                     8
it                                     5
gives                                  1
depend                                 1
as                                     2
the                                   14
addition                               1
in                                     4
manual                                 2
advantage                              1
term                                   1
an                                     2
secret                                 6
competitive                            1
also                                   1
competition                            1
employees                              3
formula                                1

Totals:                    134       249
