Token                          Frequency
-----------------------------  ---------
they                                   5
employment                             2
placing                                1
for                                    3
spy                                    2
etc                                    1
equipment                              1
technical                              1
people                                 1
expect                                 1
of                                     4
over                                   1
espionage                              1
are                                    2
on                                     2
2011                                   1
only                                   1
low-cost                               1
opportunities                          1
intelligence                           1
serve                                  1
turn                                   1
information                            2
want-ads                               1
answer                                 1
job                                    3
he                                     1
powerful                               1
projects                               1
obtain                                 1
will                                   1
utilize                                1
theft                                  1
qualifications                         1
collection                             1
highly                                 1
do                                     2
fake                                   1
sensitive                              1
applying                               1
a                                     10
bogus                                  2
advertisement                          1
seek                                   1
what                                   2
interview                              2
method                                 1
to                                     4
transactions                           1
tool                                   1
interviews                             1
fraud                                  1
who                                    1
personnel                              1
key                                    1
work                                   1
financial                              1
think                                  1
get                                    1
intellectual                           1
property                               1
cost                                   2
much                                   1
and                                    1
that                                   1
corporate                              1
market                                 1
company                                1
examiners                              1
match                                  1
example                                1
this                                   1
existing                               1
about                                  1
way                                    1
from                                   1
restaurant                             1
meets                                  1
real                                   1
possible                               1
during                                 1
if                                     1
ads                                    2
employee                               1
meal                                   1
those                                  1
with                                   2
is                                     2
thieves                                1
as                                     3
the                                   13
offer                                  1
in                                     3
manual                                 1
great                                  2
advertisements                         1
1.833                                  1
target                                 2
competitive                            1
employees                              3
very                                   1
out                                    1

Totals:                    102       158
