Token                          Frequency
-----------------------------  ---------
to                                     1
jobs                                   2
employment                             2
for                                    2
good                                   1
wages                                  1
of                                     3
free                                   1
are                                    1
nature                                 1
on                                     1
government                             1
these                                  1
services                               1
op                                     1
victims                                1
get                                    2
or                                     1
available                              1
overseas                               1
listings                               1
biz                                    1
and                                    1
many                                   1
them                                   1
bet                                    1
tax-free                               1
some                                   1
classified                             1
most                                   1
from                                   1
usually                                1
pay                                    1
$1,000                                 1
enticement                             1
ads                                    1
preying                                1
lists                                  1
similar                                1
unemployed                             1
phony                                  1
with                                   1
is                                     1
added                                  1
promise                                1
the                                    5
in                                     1
$250                                   1
which                                  1
nothing                                1
service                                2
ween                                   1
scams                                  1

Totals:                     53        64
