Token                          Frequency
-----------------------------  ---------
they                                   1
person                                 1
store                                  2
merchandise                            3
reason                                 1
for                                    3
no                                     2
occurs                                 1
of                                     2
operation                              1
imperative                             1
deliver                                1
sales                                  2
government                             1
or                                     1
again                                  1
undercover                             1
he                                     3
without                                1
not                                    2
predicated                             1
bait                                   1
covert                                 2
simply                                 2
crime                                  1
unusually                              1
furthermore                            1
theft                                  1
courts                                 1
poses                                  1
biggest                                1
costs                                  1
private                                1
pose                                   1
concerned                              1
hired                                  1
leave                                  1
pick                                   1
mind                                   1
cont                                   1
proceeded                              1
induce                                 1
a                                      6
entrapment                             4
up                                     1
arrested                               1
expeditions                            1
inventory                              1
en                                     1
fishing                                2
to                                     9
being                                  1
investigator                           3
took                                   1
him                                    1
used                                   1
must                                   1
shipping                               1
were                                   1
his                                    1
would                                  1
commit                                 2
gning                                  1
subsequently                           1
when                                   1
had                                    1
be                                     2
thrown                                 1
relation                               1
cost                                   1
and                                    4
si                                     1
properly                               1
that                                   4
particularly                           1
owner                                  1
previously                             1
kickbacks                              1
example                                1
case                                   1
ract                                   1
enforcement                            1
legal                                  1
allow                                  1
agents                                 1
department                             1
one                                    1
from                                   1
believe                                1
was                                    6
because                                3
officers                               1
if                                     1
suspect                                1
driver                                 1
employee                               1
stol                                   1
all                                    1
law                                    1
is                                     2
it                                     1
as                                     1
problem                                1
the                                   10
offer                                  1
in                                     5
ruled                                  1
there                                  1
operations                             3
high                                   2
disposed                               1
employees                              1
out                                    1

Totals:                    113       177
