Token                          Frequency
-----------------------------  ---------
con                                    1
to                                     3
can                                    1
equity                                 2
for                                    1
falling                                1
of                                     1
on                                     1
men                                    1
homes                                  2
talk                                   1
may                                    1
schemes                                1
consumers                              1
mark                                   1
the                                    2
cost                                   1
borrow                                 1
and                                    1
them                                   1
persuade                               1
against                                1
equity-skimming                        1
scam                                   1
their                                  3
this                                   1
try                                    2
out                                    1

Totals:                     28        36
