Token                          Frequency
-----------------------------  ---------
benefit                                1
interviews                             1
accounting                             1
compliance                             1
identified                             1
fraud                                  6
must                                   1
whether                                1
policies                               1
procedures                             1
incidents                              1
of                                     9
are                                    3
exceeds                                1
prevention                             1
2011                                   1
on                                     1
activities                             1
place                                  2
reports                                2
effectively                            1
control                                1
such                                   1
adequate                               1
consideration                          1
efficiently                            1
team                                   1
intended                               1
cost                                   1
requires                               1
and                                    6
that                                   3
unexplained                            1
operating                              1
override                               1
examiners                              1
management                             2
review                                 3
evaluate                               1
shrinkage                              1
risk                                   4
controls                               6
ensure                                 1
sample                                 1
•                                      7
with                                   1
observation                            1
previous                               2
audit                                  1
as                                     1
the                                    8
deterrence                             1
in                                     2
manual                                 1
mitigating                             1
there                                  1
an                                     1
4.819                                  1
testing                                1
shortages                              1
assessment                             3
employees                              1

Totals:                     62       114
