Token                          Frequency
-----------------------------  ---------
need                                   1
they                                   3
understand                             1
for                                    1
for—and                                1
people                                 2
of                                     5
are                                    3
ence                                   1
unsupervised                           1
intelligence                           1
once                                   1
creative                               1
moving                                 1
how                                    2
or                                     1
did                                    1
consultants                            1
publications                           1
planning                               2
qualities                              1
associations                           1
:                                      3
might                                  1
data                                   3
use                                    2
training                               1
looking                                1
platfo                                 1
current                                1
do                                     1
look                                   1
•                                      3
stay                                   1
a                                      4
consultant                             1
should                                 1
really                                 1
altered                                1
expertise                              1
what                                   3
experi                                 1
original                               1
produce                                1
to                                     3
individual                             6
client                                 1
entity                                 1
since                                  1
fraud                                  2
type                                   3
has                                    1
software/tools                         1
who                                    1
were                                   1
more                                   1
results                                2
why/how                                1
three                                  1
investigation                          3
be                                     2
assessed                               1
work                                   2
however                                1
such                                   1
intends                                1
professional                           1
and                                    2
that                                   1
environment                            1
embodiment                             1
this                                   1
does                                   4
mining                                 2
can                                    3
rm                                     1
have                                   4
one                                    1
from                                   1
creativity                             1
following                              1
area                                   1
if                                     1
experience                             3
find                                   1
innovation                             1
with                                   1
is                                     2
it                                     3
your                                   1
evaluating                             1
as                                     1
you                                    4
the                                   13
past                                   1
in                                     5
two                                    1
expected                               1
take                                   1
an                                     1
target                                 1
occur                                  1

Totals:                    102       174
