Token                          Frequency
-----------------------------  ---------
both                                   1
location                               1
court                                  1
equipment                              1
where                                  1
until                                  1
has                                    1
been                                   1
addressed                              1
temperature                            1
after                                  1
of                                     3
free                                   1
are                                    1
criminal                               1
central                                1
fields                                 1
be                                     1
systems                                1
relatively                             1
or                                     1
majority                               1
controlled                             1
agencies                               1
seized                                 1
and                                    3
further                                1
not                                    1
that                                   1
system                                 1
processed                              1
humidity                               1
environment                            1
magnetic                               1
transported                            1
computer                               2
justice                                1
have                                   1
evidence                               2
most                                   1
requirements                           1
facility                               1
dust-free                              1
is                                     3
•                                      3
it                                     1
cases                                  1
a                                      3
the                                    4
stored                                 1
in                                     3
should                                 1
electronic                             1
needed                                 1
either                                 1
special                                1
storage                                4

Totals:                     57        77
