Token                          Frequency
-----------------------------  ---------
exempts                                1
to                                     3
for                                    1
evidence                               2
courtroom                              1
considered                             1
of                                     3
exceptions                             2
real                                   1
although                               1
are                                    2
full                                   1
statements                             1
—                                      2
rule                                   3
be                                     1
information                            1
is                                     2
accounts                               1
circumstances                          1
get                                    1
admissible                             1
dramas                                 1
into                                   1
the                                    5
in                                     3
rules                                  1
general                                1
infamy                                 1
and                                    2
many                                   1
not                                    1
that                                   1
record                                 1
hearsay                                4
which                                  2
there                                  1
against                                1
several                                1
courtrooms                             1
categories                             1
ways                                   1

Totals:                     42        64
