Token                          Frequency
-----------------------------  ---------
to                                     1
stated                                 1
summary                                3
bob                                    1
for                                    3
no                                     1
by                                     1
checks                                 1
fraud                                  2
of                                     3
witnesses                              1
more                                   2
page                                   1
when                                   1
only                                   1
interviewing                           1
had                                    1
be                                     1
information                            1
reviewing                              1
such                                   1
or                                     4
deposited                              1
meant                                  1
did                                    1
paragraphs                             1
he                                     1
and                                    1
owned                                  1
that                                   1
executive                              2
borrowed                               1
reader                                 1
than                                   1
performed                              1
example                                1
case                                   1
summarize                              2
this                                   3
complex                                1
examination                            4
conducting                             1
simple                                 1
confronted                             1
was                                    1
reach                                  1
tests                                  1
during                                 2
money                                  1
length                                 1
pay                                    1
wilson                                 2
four                                   1
end                                    1
may                                    1
with                                   2
five                                   1
it                                     2
documents                              1
a                                      3
into                                   1
at                                     1
back                                   1
as                                     1
provides                               1
you                                    4
the                                    9
outcome                                1
in                                     3
should                                 3
section                                2
process                                1
two                                    1
overview                               1
what                                   2
an                                     2
account                                1
analyses                               1
$50,000                                1
also                                   1
actions                                1

Totals:                     81       123
