Token                          Frequency
-----------------------------  ---------
to                                     4
804                                    2
for                                    3
applies                                1
fraud                                  5
contrivance                            1
has                                    1
though                                 1
prior                                  1
after                                  4
of                                    14
over                                   1
constituting                           2
facts                                  2
three                                  1
action                                 1
only                                   1
year                                   1
litigation                             1
claims                                 3
however                                1
such                                   2
extends                                2
or                                     3
and                                    1
that                                   1
earlier                                2
involving                              1
several                                1
even                                   1
years                                  3
securities                             2
discovery                              2
causes                                 1
sarbanes-oxley                         1
subject                                1
one                                    1
limitations                            6
was                                    1
clear                                  1
arisen                                 1
federal                                1
10b-5                                  1
rule                                   1
types                                  1
statute                                6
is                                     1
it                                     1
five                                   1
10(b                                   1
violation                              2
a                                      1
extended                               2
the                                   14
deceit                                 1
section                                3
manipulation                           1
extension                              1
two                                    1
amended                                1
claim                                  1
act                                    3
also                                   1

Totals:                     63       131
