Token                          Frequency
-----------------------------  ---------
to                                     4
person                                 1
auditor                                1
for                                    1
least                                  1
accounting                             3
its                                    1
every                                  1
fraud                                  2
has                                    5
whether                                1
related                                1
who                                    2
of                                     5
accepted                               1
2011                                   1
preparing                              1
chief                                  1
comptroller                            1
financial                              5
reports                                1
such                                   1
disclose                               1
or                                     3
companies                              1
comparable                             1
accountant                             1
requires                               1
and                                    6
3                                      1
not                                    2
accruals                               1
2                                      1
1                                      2
defines                                1
committee                              2
407                                    1
4                                      1
company                                1
examiners                              1
explain                                1
sarbanes-oxley                         1
position                               1
expert                                 3
one                                    1
understanding                          2
through                                1
education                              1
reasons                                1
controls                               1
officer                                1
2.221                                  1
generally                              1
if                                     1
statements                             2
experience                             3
internal                               1
similar                                1
member                                 1
law                                    2
functions                              1
with                                   1
application                            1
is                                     1
estimates                              1
a                                      5
at                                     1
audit                                  2
as                                     2
principles                             2
the                                    7
in                                     3
section                                1
periodic                               1
manual                                 1
reserves                               1
cfo                                    1
sec                                    1
an                                     2
auditing                               1
act                                    2
public                                 2
part                                   1
why                                    1

Totals:                     84       138
