Token                          Frequency
-----------------------------  ---------
issuers                                1
person                                 2
for                                    1
benefit                                1
treatment                              1
concern                                1
its                                    1
party                                  3
corrupt                                5
corporation                            1
recipient                              1
whether                                1
of                                    13
over                                   1
are                                    1
principal                              1
interest                               1
file                                   1
furtherance                            1
laws                                   1
on                                     1
only                                   1
gifts                                  1
2011                                   1
government                             1
place                                  1
elements                               2
favorable                              2
charitable                             1
or                                    20
national                               2
international                          1
under                                  3
organized                              1
entities                               1
third                                  1
include                                2
3                                      1
misuse                                 1
2                                      1
obtain                                 1
1                                      2
tax                                    1
covers                                 1
5                                      1
4                                      1
payments                               6
:                                      2
upon                                   1
position                               1
put                                    1
territory                              2
broad                                  1
influence                              1
states                                 4
finally                                1
money                                  2
capacity                               1
customs                                1
citizen                                1
•                                      9
united                                 4
payment                                5
scholarship                            1
a                                     12
officials                              1
rates                                  1
representatives                        1
gain                                   1
periodic                               1
obtaining                              1
fourth                                 1
loans                                  1
possession                             1
within                                 1
public                                 1
part                                   1
prohibition                            2
behalf                                 1
to                                    16
second                                 1
entity                                 2
u.s                                    2
candidate                              1
by                                     1
jurisdiction                           1
fraud                                  2
concerns                               1
must                                   4
has                                    2
been                                   1
resident                               1
who                                    1
related                                3
takes                                  1
instrumentality                        1
his                                    1
any                                    9
value                                  1
official                               7
retaining                              1
paying                                 1
depends                                1
required                               1
contributions                          1
be                                     3
violator                               1
prohibits                              1
reports                                1
extends                                1
issued                                 1
controlled                             1
offering                               1
intended                               1
relative                               1
owned                                  1
and                                    4
shares                                 1
that                                   6
issuer                                 1
differently                            1
examiners                              1
permits                                1
regulated                              3
securities                             1
acting                                 1
foreign                               10
commonwealth                           1
other                                  1
can                                    1
specific                               1
have                                   2
department                             1
overpayments                           1
agents                                 1
state                                  1
licenses                               1
purpose                                2
includes                               1
business                               8
organization                           1
following                              1
above                                  1
pay                                    2
making                                 1
all                                    1
law                                    2
directing                              1
is                                     5
with                                   1
five                                   2
political                              1
violation                              1
at                                     1
agency                                 1
donation                               1
the                                   23
offer                                  2
authorizing                            2
promising                              1
domestic                               2
persons                                1
intent                                 2
in                                     4
in-kind                                1
manual                                 1
anything                               1
fcpa                                   3
term                                   1
registered                             1
sec                                    1
an                                     1
there                                  1
service                                1
2.251                                  1
act                                    1
also                                   1
first                                  1
very                                   1

Totals:                    179       368
