Token                          Frequency
-----------------------------  ---------
need                                   1
2007                                   1
knowingly                              1
2003                                   1
its                                    1
misdemeanor                            1
principal                              1
scheme                                 1
laws                                   1
she                                    1
2011                                   1
government                             2
elements                               1
concealing                             1
lying                                  2
under                                  3
number                                 1
he                                     1
loan                                   1
prosecution                            2
1                                      1
orally                                 1
6                                      1
we                                     1
knowledge                              1
lieu                                   1
made                                   6
18                                     3
states                                 1
examiner                               1
fraudulent                             2
instances                              1
relied                                 1
document                               1
imclone                                1
truth                                  1
—                                      2
•                                      5
may                                    1
prosecute                              1
documents                              1
a                                     14
seen                                   1
material                               1
operative                              1
fact                                   1
reckless                               1
statutes                               1
part                                   1
2001                                   1
to                                    12
transactions                           1
must                                   2
fbi                                    1
march                                  1
stewart                                4
any                                    1
follow                                 1
be                                     3
prohibits                              1
financial                              1
claims                                 1
however                                2
untrue                                 2
white                                  1
convicted                              1
providing                              1
code                                   2
§                                      2
charged                                1
and                                    8
shares                                 1
that                                   2
involved                               2
often                                  1
than                                   1
examiners                              1
example                                2
case                                   2
visa                                   1
enforcement                            1
irs                                    1
set                                    1
about                                  1
insider                                1
former                                 1
deceived                               1
willfully                              1
chapter                                1
federal                                4
statements                             6
defendant                              1
law                                    3
47                                     1
as                                     2
punish                                 1
capable                                1
which                                  1
see                                    1
take                                   1
sec                                    1
an                                     4
prominent                              1
certain                                1
forth                                  1
1001                                   5
person                                 1
employment                             2
for                                    8
house                                  1
course                                 1
of                                    19
overlaps                               1
are                                    1
stock                                  1
briefly                                1
among                                  2
on                                     4
false                                 12
information                            3
or                                     8
guilty                                 1
regarding                              2
not                                    2
many                                   1
nor                                    1
tax                                    2
2.239                                  1
years                                  1
upon                                   2
conducting                             1
purposes                               1
most                                   1
disbursed                              1
title                                  1
typical                                1
disposal                               1
rather                                 1
trading                                1
united                                 1
disregard                              1
officials                              1
additional                             1
libby                                  2
within                                 1
based                                  1
stated                                 1
apply                                  1
u.s                                    1
contains                               1
actually                               1
jurisdiction                           1
fraud                                  4
used                                   3
been                                   2
related                                2
u.s.c                                  2
lewis                                  1
more                                   2
provisions                             2
when                                   1
infamous                               1
crimes                                 2
official                               3
applications                           2
investigation                          2
returns                                1
credit                                 2
scooter                                1
deceive                                1
martha                                 1
such                                   2
cia                                    1
agencies                               1
filing                                 1
statement                              5
importance                             1
influencing                            1
known                                  2
this                                   3
senior                                 1
other                                  2
have                                   4
specific                               1
writing                                1
departments                            1
from                                   2
falsity                                2
recent                                 1
was                                    8
another                                1
regulatory                             1
if                                     2
below                                  1
various                                1
insider-trading                        1
statute                                5
with                                   7
is                                     4
application                            1
it                                     5
matter                                 1
violation                              2
into                                   1
greatest                               1
agency                                 4
prosecuting                            1
the                                   24
intent                                 1
in                                     8
oath                                   1
section                                5
1014                                   1
manual                                 1
felony                                 1
things                                 1
also                                   1
found                                  1
occur                                  1

Totals:                    219       448
