Token                          Frequency
-----------------------------  ---------
to                                     4
for                                    1
sometimes                              1
higher                                 1
since                                  1
doesn’t                                1
expenses                               1
of                                     1
more                                   1
candy                                  1
parties                                1
false                                  1
noncovered                             1
processing                             1
only                                   1
investigation                          1
sold                                   1
reports                                2
donated                                1
such                                   1
stripers                               1
cost                                   2
include                                1
and                                    1
that                                   1
items                                  2
medicare                               2
disclosed                              1
example                                1
x-ray                                  1
hospital                               3
have                                   1
from                                   2
exotic                                 1
was                                    1
disguised                              1
able                                   1
consider                               1
money                                  1
golf                                   1
outings                                1
covered                                1
revenue                                1
film                                   1
it                                     3
trips                                  1
thus                                   1
a                                      1
silver                                 1
as                                     3
back                                   1
the                                    4
donations                              1
recovered                              1
gave                                   1
an                                     1
claim                                  1

Totals:                     57        74
