Token                          Frequency
-----------------------------  ---------
to                                     8
apply                                  1
birth                                  1
individual                             1
for                                    3
automobile                             2
driving                                1
insurable                              1
unlawful                               1
where                                  1
prior                                  1
of                                     1
medical                                1
would                                  1
false                                  2
on                                     1
financial                              1
information                            3
submit                                 1
or                                     2
preferred                              1
reduce                                 1
obtain                                 5
better                                 1
company                                1
policy                                 1
example                                1
insurance                              3
might                                  1
home                                   2
have                                   1
through                                1
date                                   1
risk                                   1
following                              1
normally                               1
rate                                   2
pool                                   1
purchasing                             1
cheaper                                2
employee                               1
improper                               4
prospective                            1
•                                      4
annual                                 1
standard                               1
policyholder                           1
premium                                3
a                                      4
the                                    6
gain                                   1
history                                1
new                                    1
address                                1

Totals:                     54        93
