Token                          Frequency
-----------------------------  ---------
they                                   2
manager                                3
appear                                 1
for                                    3
verify                                 2
excessive                              1
receipt                                6
customer                               8
of                                    16
approved                               3
time                                   1
are                                    5
scheme                                 1
given                                  1
authenticity                           2
initials                               1
sales                                  6
2011                                   3
on                                     2
false                                  4
her                                    3
misappropriation                       3
along                                  1
place                                  1
signature                              1
these                                  3
copy                                   4
rubber-stamp                           1
essential                              1
asset                                  3
or                                     1
number                                 2
he                                     1
vulnerable                             1
many                                   2
not                                    4
present                                1
neglects                               1
supervisor                             1
routes                                 1
simply                                 3
them                                   3
then                                   1
will                                   3
some                                   1
review                                 1
typically                              1
give                                   1
before                                 1
failed                                 1
most                                   2
alleged                                1
fraudulent                             6
instances                              1
paid                                   1
conspire                               1
leave                                  1
refund                                 1
usually                                1
money                                  1
do                                     1
notice                                 2
end                                    1
kept                                   1
similar                                1
schemes                                3
cases                                  2
needs                                  1
whatever                               1
receipts                               1
a                                     14
return                                 1
slip                                   2
void                                   6
process                                1
register                               4
item                                   1
attached                               2
returned                               1
proceeds                               1
to                                    16
transactions                           4
supervisors                            2
managers                               5
transaction                            3
being                                  1
authorization                          1
by                                     2
long                                   1
fraud                                  3
been                                   1
has                                    1
though                                 1
must                                   2
who                                    1
after                                  1
his                                    1
fictitious                             2
when                                   2
crimes                                 1
sets                                   1
processing                             1
taken                                  1
rings                                  1
had                                    1
presented                              2
be                                     2
financial                              3
approve                                2
get                                    1
kinds                                  1
receivable                             1
disbursements                          4
indicating                             1
targeted                               1
and                                    5
voids                                  5
sale                                   5
sign                                   1
1.505                                  1
that                                   5
processed                              2
1.506                                  1
1.507                                  1
examiners                              3
example                                1
this                                   1
make                                   1
thing                                  1
valid                                  1
perpetrators                           1
other                                  1
department                             1
legitimate                             1
about                                  2
from                                   3
perceived                              1
withholds                              1
hand                                   1
lackadaisical                          1
share                                  1
possible                               1
order                                  1
voided                                 9
generally                              2
question                               1
fraudsters                             1
employee                               3
all                                    1
perpetrator                            2
with                                   3
is                                     8
accounts                               1
it                                     3
obviously                              1
thus                                   1
approval                               1
at                                     2
as                                     2
coincidence                            1
the                                   40
authorizing                            1
customers                              1
in                                     8
therefore                              1
manual                                 3
anything                               1
slips                                  2
see                                    1
take                                   1
an                                     2
removed                                1
culprit                                1
flowchart                              1
forges                                 1
their                                  2
themselves                             1
also                                   1
success                                1
first                                  1
shift                                  1
employees                              2

Totals:                    182       426
