Token                          Frequency
-----------------------------  ---------
professionals                          2
postings                               1
understand                             1
divulging                              1
flow                                   1
production                             3
academic                               3
although                               1
materials                              1
nature                                 1
2011                                   2
these                                  1
intelligence                           3
selling                                1
he                                     1
always                                 1
favorite                               2
shows                                  1
pricing                                1
project                                1
floor                                  1
academician                            1
each                                   1
guarded                                1
introduction                           1
theft                                  2
ominously                              1
gift                                   1
minimum                                1
use                                    2
excellent                              1
hired                                  2
leave                                  1
easy                                   1
graduate                               1
publish                                1
disastrous                             1
targets                                3
may                                    4
firm                                   1
a                                     12
surprised                              1
careless                               1
what                                   2
unwittingly                            1
part                                   1
competitor                             2
to                                    13
transactions                           2
resources                              2
attend                                 1
r&d                                    3
provide                                2
by                                     1
perform                                1
good                                   1
has                                    1
who                                    2
close                                  1
conduct                                2
personnel                              2
would                                  2
supposedly                             1
instance                               1
be                                     5
financial                              2
think                                  1
vital                                  1
however                                1
get                                    1
learn                                  1
helpful                                1
and                                   16
that                                   6
particularly                           1
often                                  2
than                                   1
examiners                              2
case                                   1
make                                   2
raw                                    1
can                                    3
trade                                  1
department                             1
about                                  2
journal                                1
organization                           1
findings                               1
pay                                    1
above                                  1
attention                              1
confidential                           2
talk                                   1
individuals                            1
functions                              1
at                                     1
as                                     1
suppliers                              1
planned                                1
which                                  1
source                                 1
anyone                                 1
an                                     4
inadvertently                          1
they                                   4
for                                    2
test                                   1
understands                            1
open                                   2
of                                    19
help                                   1
are                                    6
spies                                  1
favored                                1
on                                     3
working                                1
industry                               1
exchange                               1
strategies                             1
listed                                 1
programs                               1
information                           12
services                               1
journals                               1
or                                     2
questions                              1
job                                    5
entail                                 1
like                                   1
include                                2
will                                   1
ask                                    1
some                                   2
plant                                  1
caller                                 1
development                            3
crafty                                 1
institutions                           1
most                                   1
costs                                  1
wanted                                 1
dates                                  1
promotional                            1
published                              1
listen                                 1
kept                                   2
marketing                              4
enormous                               1
true                                   1
access                                 1
research                               5
product                                1
arrange                                1
surprisingly                           1
valuable                               2
teaching                               1
interview                              1
manufacturing                          2
but                                    1
phone                                  1
mingle                                 1
managers                               1
being                                  1
study                                  2
fraud                                  2
been                                   1
sources                                1
1.821                                  1
1.822                                  1
almost                                 2
were                                   1
more                                   2
results                                3
useful                                 1
sure                                   2
work                                   1
such                                   1
researchers                            1
intellectual                           2
property                               2
gatherers                              1
heavily                                1
market                                 1
salespeople                            1
amounts                                1
confidentiality                        1
company                                4
this                                   2
other                                  1
agents                                 1
one                                    2
insight                                1
departments                            1
conferences                            1
from                                   1
requirements                           1
assistants                             1
details                                1
if                                     1
announcements                          1
purchasing                             1
participate                            1
ads                                    1
answering                              1
with                                   2
is                                     7
students                               1
those                                  1
thieves                                1
into                                   1
the                                   17
in                                     8
human                                  2
manual                                 2
plan                                   1
innovations                            1
themselves                             1
their                                  2
also                                   2

Totals:                    219       413
