Token                          Frequency
-----------------------------  ---------
to                                     4
transactions                           1
both                                   1
equipped                               2
remote                                 1
fraud                                  1
faxing                                 1
of                                     2
sent                                   2
are                                    2
encryption                             1
2011                                   1
high-level                             1
be                                     3
financial                              1
systems                                1
fax                                    2
intellectual                           1
property                               1
number                                 2
enter                                  1
machine                                2
and                                    2
not                                    1
that                                   1
system                                 1
examiners                              1
some                                   1
this                                   1
theft                                  1
can                                    1
retrieval                              1
well                                   1
through                                1
from                                   1
1.883                                  1
another                                1
unless                                 1
faxes                                  2
allows                                 1
able                                   1
voicemail                              1
sensitive                              1
similar                                1
with                                   2
those                                  1
documents                              2
a                                      5
as                                     1
you                                    1
the                                    1
stored                                 1
should                                 1
machines                               2
manual                                 1
pin                                    1
retrieve                               1
device                                 1
competitor                             1
storage                                1

Totals:                     60        81
