Token                          Frequency
-----------------------------  ---------
to                                     1
other                                  1
19                                     1
particular                             1
18                                     2
fraud                                  1
corrupt                                1
has                                    1
11                                     1
prohibit                               1
u.s.c                                  2
of                                     4
conduct                                1
chapter                                1
federal                                1
provisions                             1
interest                               2
criminal                               1
follow                                 1
unethical                              1
conflicts                              1
define                                 1
separate                               1
201                                    2
a                                      1
officials                              1
the                                    1
wide                                   1
§                                      2
variety                                1
and                                    3
that                                   1
statutes                               2
corruption                             1
involving                              1
seq                                    1
examiners                              1
public                                 1
et                                     1

Totals:                     39        50
