Token                          Frequency
-----------------------------  ---------
communities                            1
consolidated                           2
diverse                                1
for                                    3
its                                    2
obligations                            1
of                                     5
help                                   1
stock                                  1
are                                    6
e.g                                    1
created                                1
fh                                     1
2011                                   1
government                             1
central                                1
commercial                             1
sold                                   1
these                                  1
serve                                  1
information                            1
programs                               1
housing                                3
or                                     1
mortgage                               3
under                                  1
bonds                                  1
meet                                   1
board                                  6
flexible                               1
loan                                   4
conditions                             1
managed                                1
system                                 1
funds                                  1
independently                          1
associations                           1
branch                                 1
each                                   1
enforcing                              1
home                                   6
development                            1
chartered                              1
long-term                              1
institutions                           4
administering                          1
purposes                               1
savings                                2
12                                     3
federally                              1
ensures                                1
prescribes                             1
sell                                   1
member                                 4
authorized                             1
economic-                              1
responsible                            1
needs                                  1
a                                      2
loans                                  2
independent                            1
mutual                                 1
remain                                 1
implements                             1
supervises                             1
finance                                5
notes                                  1
banks                                  4
proceeds                               1
capital-stock                          1
to                                     5
provide                                1
investors                              1
regulations                            1
become                                 1
by                                     2
used                                   1
fraud                                  1
eligible                               1
sources                                1
obligation                             1
were                                   1
capitalized                            3
corporations                           1
fhlb                                   3
investigation                          1
bank                                   3
credit                                 1
retained                               1
financial                              3
fhlbs                                  6
agencies                               1
affordable                             1
borrow                                 1
and                                   14
executive                              1
that                                   4
sound                                  1
issues                                 2
operate                                1
examiners                              1
orders                                 1
lb                                     1
foreign                                1
make                                   1
community-oriented                     1
housing-finance                        1
succeeded                              1
privately                              1
issue                                  1
includes                               1
re                                     1
carrying                               1
federal                                6
3.476                                  1
regulatory                             1
debentures                             1
members                                1
all                                    1
individuals                            1
earnings                               1
investments                            2
is                                     3
it                                     1
lending                                2
agency                                 1
provides                               1
the                                   16
addition                               2
in                                     5
rules                                  1
adequately                             1
manual                                 1
which                                  3
regional                               1
engaged                                1
an                                     2
manner                                 1
their                                  3
act                                    3
out                                    1

Totals:                    141       260
