Token                          Frequency
-----------------------------  ---------
to                                     2
birth                                  1
percent                                1
individual                             1
provide                                1
for                                    1
covering                               1
aspects                                1
most                                   1
citizenship                            1
licenses                               1
investigates                           1
date                                   1
proprietors                            1
oceangoing                             1
officers                               1
of                                     8
stock                                  1
more                                   1
federal                                2
engage                                 1
holders                                1
name                                   1
activities                             1
place                                  1
commission                             3
maritime                               2
members                                1
all                                    1
partnership                            1
direct                                 1
applicants                             2
information                            1
or                                     1
the                                    2
in                                     1
and                                    4
history                                1
corporate                              1
including                              1
residence                              1
5                                      1
names                                  2
company                                1
freight-forwarding                     1
directors                              1
their                                  1

Totals:                     47        65
