Token                          Frequency
-----------------------------  ---------
periods                                1
falsify                                1
cover-up                               1
78o(d                                  2
1514a                                  1
loopholes                              1
creates                                1
participants                           1
time                                   3
compensating                           1
role                                   2
systematic                             1
duties                                 1
these                                  7
asset                                  1
nasdaq                                 1
meet                                   2
3                                      5
2                                      6
1                                      6
6                                      1
5                                      2
4                                      2
payments                               4
certifying                             1
codes                                  1
violated                               1
each                                   2
components                             1
?                                      4
audits                                 2
restating                              1
unique                                 1
knowledge                              4
made                                   9
secondary                              1
ignorance                              2
net                                    1
fraudulent                             3
commerce                               2
authority                              1
usually                                1
mention                                1
ensure                                 1
member                                 5
markets                                4
illegal                                2
a                                     68
increasing                             1
retaliatory                            1
essentially                            3
register                               1
compensation                           5
standards                              5
including                              3
days                                   3
public                                16
coincide                               1
advice                                 1
suspend                                1
transactions                          22
resources                              1
congress                               3
basis                                  1
designing                              1
change                                 1
regulations                            2
$5,000,000                             1
exception                              1
took                                   1
distributed                            1
firms                                  1
caveat                                 1
consumer                               2
capital                                3
has                                    9
policies                               1
expenses                               1
composition                            1
had                                    1
protections                           11
execute                                1
involves                               2
302                                    4
301                                    2
304                                    2
306                                    1
far                                    1
advises                                1
code                                   7
§                                     28
much                                   1
post-issuance                          1
destroying                             1
items                                  1
active                                 1
orders                                 1
day                                    1
treasury                               1
make                                   7
governance                             1
evidence                               1
insider                                1
granted                                1
through                                1
redeemable                             1
education                              1
complaints                             1
business                               4
possible                               3
chapter                                1
following                              2
effected                               1
statements                            12
pay                                    1
universal                              1
activity                               2
law                                    4
77b(a)(1                               1
obviously                              1
estimates                              1
informed                               1
which                                 13
freeze                                 1
take                                   5
anyone                                 1
there                                  9
reimburse                              1
categories                             3
assessment                             1
issuers                                1
subcontractor                          1
exemptions                             2
knowing                                1
…any                                   1
liability                              5
otherwise                              4
sufficient                             1
help                                   1
retirement                             1
given                                  1
report                                15
carry                                  2
listed                                 1
final                                  2
liquidity                              1
establishing                           2
regarding                              1
wrongdoers                             1
damages                                3
will                                   1
disclosure                             8
furthermore                            1
publicly                              11
newspaper                              1
upon                                   1
waiver                                 1
uncovered                              1
mandate                                1
broad                                  2
aspects                                1
thought                                1
subordinates                           1
freezing                               1
decision                               1
