Token                          Frequency
-----------------------------  ---------
to                                     1
ftc                                    1
freedom                                1
filings                                1
for                                    1
recognition                            1
particular                             1
fraud                                  1
sources                                1
of                                     4
parties                                1
request                                1
on                                     2
2011                                   1
taken                                  1
i.e                                    1
investigation                          1
decrees                                1
credit                                 1
commission                             2
information                            4
or                                     1
under                                  1
companies                              3
available                              1
fair                                   1
and                                    3
against                                2
examiners                              1
reporting                              1
enforcement                            1
trade                                  2
archives                               1
through                                1
well                                   1
judicial                               1
federal                                3
detailed                               1
judgments                              1
between                                1
individuals                            2
is                                     2
consent                                1
responsible                            1
a                                      2
agreement                              1
agency                                 1
as                                     2
the                                    4
manual                                 1
which                                  1
an                                     1
suit                                   1
act                                    2
3.446                                  1
actions                                2

Totals:                     56        81
