Token                          Frequency
-----------------------------  ---------
need                                   1
particular                             2
accounting                             1
explained                              1
party                                  1
recipient                              8
missing                                1
bribery                                3
over                                   1
materials                              1
located                                1
endorsed                               3
thereby                                1
2011                                   3
incorporation                          1
these                                  1
concealing                             1
isolated                               1
endorser                               1
purchaser                              1
once                                   1
papers                                 1
number                                 3
)                                      1
apart                                  1
purchased                              1
payments                              10
codes                                  1
?                                      8
sequentially                           1
instruments                            1
go                                     1
refrain                                1
made                                   4
indicate                               3
cashed                                 3
examiner                               1
instances                              1
principals                             1
usually                                2
dm                                     1
entries                                1
do                                     3
checking                               1
look                                   3
illegal                                1
a                                     37
converted                              1
consultant                             1
kickback                               1
register                               2
days                                   1
utility                                1
payables                               2
unnumbered                             1
public                                 1
returned                               2
banks                                  2
discrepancies                          3
transactions                           3
entity                                 4
lead                                   2
by                                    13
permitting                             1
same                                   2
has                                    2
expenses                               2
sender                                 1
would                                  2
basic                                  1
any                                    3
bank                                  20
paying                                 1
invoices                               6
be                                    14
partnership                            1
retained                               1
financial                              3
code                                   1
interim                                1
and                                   32
particularly                           1
—if                                    1
determining                            1
often                                  2
names                                  1
against                                1
examiners                              3
orders                                 2
kickbacks                              1
example                                4
does                                   1
remember                               2
obtained                               2
connect                                1
indication                             1
legitimate                             1
purchase                               2
through                                2
business                              11
on-book                                1
following                              4
generally                              1
name                                   4
statements                             1
showing                                1
locate                                 2
all                                    1
keeps                                  1
stamp                                  4
purchasers                             1
at                                     2
as                                     4
equal                                  1
still                                  3
1.725                                  1
authorizing                            1
1.724                                  1
1.726                                  1
entire                                 1
which                                  9
slips                                  1
an                                    13
box                                    1
suspicious                             1
they                                   2
abc                                    1
deposit                                3
yield                                  2
no                                     3
otherwise                              1
determine                              1
receipt                                2
obvious                                1
of                                    43
given                                  1
approximate                            1
only                                   3
on                                    10
transfer                               5
services                               3
support                                2
identify                               2
or                                    18
endorse                                1
steps                                  1
monthly                                1
third                                  1
include                                4
funds                                  1
county                                 1
them                                   1
then                                   1
month                                  1
will                                   6
delivery                               1
records                                8
different                              3
fashion                                1
memo                                   1
most                                   2
clear                                  3
normally                               1
disbursement                           4
unless                                 1
destroyed                              1
internal                               1
note                                   3
similar                                1
backup                                 6
files                                  2
articles                               1
schemes                                1
recipients                             1
receipts                               2
appearing                              1
product                                1
account                               18
telephone                              1
design                                 1
described                              1
cust                                   1
filed                                  2
individual                             3
second                                 1
location                               3
where                                 10
fraud                                  3
procedures                             1
ledgers                                1
more                                   1
level                                  1
substantiate                           1
his                                    1
trail                                  1
fictitious                             2
when                                   2
exact                                  1
request                                2
required                               1
such                                   5
issued                                 1
statement                              2
copies                                 1
corporate                              2
issuer                                 1
unexplained                            1
commonly                               1
this                                   3
goods                                  2
from                                  10
resolution                             1
was                                   10
anomalous                              2
if                                     8
able                                   1
suspect                                3
various                                1
between                                2
those                                  1
is                                    16
it                                    11
annual                                 1
important                              2
into                                   1
agreement                              1
know                                   1
in                                    18
account/customer                       1
registers                              2
necessary                              1
suspected                              3
themselves                             1
omer                                   1
alterations                            3
also                                   7
limited                                1
withdrawal                             1
checks                                15
its                                    1
although                               1
scheme                                 2
receives                               1
photocopies                            1
signature                              2
supplier                               2
intermediary                           2
copy                                   6
books                                  1
relatively                             1
deposited                              8
available                              1
always                                 1
entities                               1
30                                     1
ownership                              1
corruption                             3
own                                    2
indicates                              1
examples                               1
face                                   1
jurisdictions                          1
withdrawals                            1
date                                   3
difficult                              1
critical                               1
personal                               1
leads                                  2
illicit                                1
—                                     13
license                                1
consulting                             2
•                                     27
holder                                 1
payment                                7
documents                              5
absence                                3
back                                   3
repeated                               1
billing                                2
originals                              1
pattern                                2
transferred                            1
documentation                          8
original                               2
to                                    42
depository                             4
identified                             1
must                                   1
amount                                 2
card                                   1
microfilm                              2
reports                                1
charges                                1
index                                  1
contractor                             1
anomalies                              2
numbered                               2
charged                                3
vary                                   1
that                                  15
than                                   2
cash                                   9
several                                1
unlikely                               1
require                                2
case                                   2
can                                   13
abbreviated                            1
suspects                               1
appears                                2
journal                                1
tracing                                2
commissions                            1
above                                  3
debit                                  1
attention                              1
drawn                                  2
delivered                              1
accounts                               1
percentage                             1
fees                                   3
suppliers                              1
needed                                 1
examining                              1
ordered                                1
scam                                   1
cashier                                6
very                                   1
shell                                  1
person                                 3
examine                                3
for                                   14
tie                                    1
corrupt                                1
corporation                            1
whether                                1
course                                 1
are                                    6
file                                   1
sales                                  4
endorsement                            4
information                            7
journals                               3
compare                                1
not                                   13
traced                                 1
obtain                                 3
some                                   4
might                                  6
examination                            1
link                                   1
identity                               6
typical                                1
paid                                   5
partnerships                           1
dates                                  1
and/or                                 1
maintains                              1
money                                  1
highly                                 1
103                                    1
102                                    1
101                                    1
phony                                  2
post                                   1
signed                                 2
return                                 1
payee                                  3
should                                 2
obtaining                              1
process                                2
payer                                  2
fall                                   1
canceled                               1
filings                                1
invoice                                4
little                                 1
show                                   3
nominal                                1
been                                   3
were                                   5
directly                               1
work                                   1
wire                                   6
dated                                  1
contain                                1
company                                1
even                                   2
known                                  2
payable                                8
other                                  2
have                                   5
one                                    2
purpose                                1
order                                  1
making                                 2
issuing                                2
office                                 1
negotiated                             4
with                                   2
check                                 30
circumstances                          1
the                                  133
geographical                           1
begin                                  2
manual                                 3
address                                1
engaged                                1
uses                                   1
their                                  2

Totals:                    411      1367
