Token                          Frequency
-----------------------------  ---------
to                                     2
transactions                           1
defrauding                             1
u.s                                    1
entered                                1
checks                                 1
epa                                    2
after                                  1
balance                                1
of                                     1
$28,000                                1
fictitious                             1
she                                    4
supervisory                            1
false                                  1
her                                    2
credit                                 1
protection                             1
financial                              2
information                            1
deposited                              1
enviro                                 1
guilty                                 1
23                                     1
admitted                               1
receiving                              2
accountant                             1
that                                   1
system                                 2
funds                                  1
reporting                              1
example                                1
treasury                               1
management                             1
made                                   1
former                                 1
pled                                   1
resulting                              1
nmental                                1
union                                  1
entries                                1
accounts                               1
later                                  1
a                                      1
into                                   3
agency                                 1
the                                    6
in                                     2
integrated                             1
which                                  1
account                                1

Totals:                     51        68
