Token                          Frequency
-----------------------------  ---------
need                                   1
they                                   1
for                                    1
customer                               1
people                                 1
activate                               2
of                                     2
over                                   1
are                                    3
among                                  1
2011                                   1
on                                     1
these                                  1
cvv2/cvc2                              1
listed                                 1
information                            3
defenses                               1
or                                     1
questions                              1
prevent                                1
number                                 2
many                                   1
not                                    2
them                                   1
1.1034                                 1
will                                   1
measures                               1
addresses                              1
ask                                    1
some                                   1
caller                                 2
home                                   1
institutions                           2
comparing                              1
most                                   1
callers                                1
fraudulent                             1
personal                               1
disposal                               1
numbers                                2
—                                      4
best                                   1
me                                     1
do                                     1
identifying                            1
stolen                                 1
applicants                             1
•                                      4
may                                    1
rely                                   1
should                                 1
screening                              1
new                                    1
account                                2
accuracy                               1
telephone                              1
banks                                  1
to                                     7
resources                              1
transactions                           2
phone                                  1
provide                                2
fraud                                  3
policies                               1
who                                    1
personnel                              2
any                                    1
card                                   4
bank                                   2
credit                                 3
required                               1
cards                                  1
systems                                1
financial                              4
reports                                1
manufactured                           1
so                                     1
and                                    3
often                                  1
against                                1
examiners                              1
match                                  1
enforce                                1
does                                   1
other                                  1
have                                   3
existing                               1
calling                                1
from                                   1
id                                     3
possible                               1
order                                  1
able                                   1
if                                     1
implement                              1
question                               1
activation                             1
institution                            1
check                                  2
at                                     1
as                                     2
the                                    7
customers                              1
soon                                   1
in                                     3
manual                                 1
great                                  1
pin                                    2
identification                         1
their                                  4
thoroughly                             1
educate                                1

Totals:                    112       170
