Token                          Frequency
-----------------------------  ---------
they                                   1
waste                                  2
punitive                               1
employment                             1
passed                                 1
for                                    1
privileges                             1
court                                  1
permitted                              1
of                                    12
abuse                                  1
danger                                 1
are                                    4
reform                                 2
reinstatement                          1
among                                  1
file                                   2
toxic                                  1
laws                                   1
discharge                              1
substantial                            1
these                                  1
discrimination                         1
or                                     6
under                                  2
number                                 1
health                                 1
loan                                   1
include                                1
conditions                             1
solid                                  1
damages                                2
funds                                  1
air                                    1
bringing                               1
1989                                   1
attorney                               1
years                                  1
acts                                   1
courts                                 1
institutions                           4
savings                                2
12                                     1
violations                             1
authority                              1
clean                                  1
disposal                               1
substantially                          1
civil                                  1
crisis                                 1
discriminatory                         1
anti-retaliation                       4
similar                                1
water                                  2
safe                                   1
held                                   1
entitled                               1
cases                                  1
a                                      4
pollution                              1
mismanagement                          1
should                                 1
compensation                           1
including                              1
statutes                               1
within                                 1
successful                             1
public                                 1
respect                                1
actions                                2
banks                                  1
to                                     9
congress                               1
provide                                1
drinking                               1
terms                                  1
depository                             1
who                                    1
u.s.c                                  1
conduct                                1
provisions                             2
expose                                 1
any                                    2
action                                 1
bank                                   1
protections                            1
protection                             1
financial                              2
control                                2
reports                                1
appropriate                            2
such                                   1
1980s                                  1
§                                      1
compensatory                           1
and                                    6
that                                   2
retaliation                            1
regulation                             1
substances                             1
enforcement                            2
other                                  2
gross                                  2
have                                   1
specific                               1
from                                   1
enhance                                1
following                              1
possible                               1
federal                                2
regulatory                             1
if                                     2
employee                               2
firrea                                 5
law                                    1
with                                   1
1831j                                  1
violation                              1
provides                               1
agency                                 1
the                                   14
past                                   1
in                                     3
recovery                               2
general                                1
environmental                          1
protects                               1
two                                    1
safety                                 1
remedy                                 1
there                                  1
an                                     3
things                                 1
certain                                1
claim                                  2
act                                    7
also                                   2
employees                              4

Totals:                    138       232
