Token                          Frequency
-----------------------------  ---------
total                                 20
periods                                1
using                                  2
paid-in                                1
repaying                               1
merchandise                            3
noted                                  1
incurred                               1
accounting                            30
continued                              1
over                                   1
time                                   4
materials                              1
role                                   1
2011                                  10
government                             1
these                                  5
purchases                              1
$                                     20
+                                      2
companies                              5
shown                                  3
number                                 1
shows                                  7
salaries                               3
-                                      5
1                                      2
0                                      1
resold                                 1
payments                               4
bankruptcy                             1
lines                                  1
each                                   2
components                             1
owners                                33
=                                      2
14,000                                 1
typically                              1
fraudulent                             1
net                                   34
interested                             1
623                                    3
side                                   3
current                               13
usually                                5
entries                                1
debts                                  1
left                                   1
affecting                              1
sheet                                 21
beginning-of-the-year                  1
may                                    1
debt                                   2
organizations                          1
firm                                   1
a                                     59
converted                              3
increasing                             1
represent                              1
labor                                  1
standards                              1
invest                                 1
starts                                 1
including                              1
notes                                  3
vendors                                3
x                                      6
methods                                2
transactions                          15
resources                              1
basis                                  4
63,000                                 1
fiscal                                 1
change                                 1
normal                                 1
entity                                 1
distributed                            4
plays                                  1
by                                    10
same                                   1
capital                                3
has                                    5
who                                    1
expenses                              16
transparency                           1
balance                               39
obligation                             1
would                                  6
basic                                  1
future                                 3
any                                    8
accumulated                            2
sells                                  1
derived                                1
paying                                 1
had                                    3
contributions                          1
be                                    12
financial                             42
retained                              23
likely                                 1
receivable                             3
indicating                             1
$5,000                                 3
interim                                1
much                                   2
and                                   59
sale                                   2
near                                   1
items                                  5
often                                  5
against                                1
examiners                             11
refunds                                1
day                                    2
securities                             2
example                                5
treasury                               1
make                                   2
large                                  1
shareholders                           3
does                                   2
acceptable                             1
indicator                              1
cumulative                             1
set                                    2
purchase                               4
through                                4
intangible                             5
business                               2
chapter                                1
organization                           2
following                              4
contributed                            1
generally                              7
discounts                              1
name                                   1
statements                            21
86,000                                 1
pay                                    2
conformity                             1
types                                  2
all                                    5
sides                                  1
sample                                 1
earnings                              28
end-of-the-year                        1
80,000                                 1
estimates                              1
at                                    15
as                                    21
still                                  1
au                                     3
therefore                              2
expected                               3
which                                  5
see                                    1
15,000                                 2
there                                  1
an                                    12
categories                             2
223,000                                1
deducted                               2
they                                   4
presentations                          3
reseller                               1
determine                              1
liability                              2
involve                                1
8,000                                  7
perpetrated                            1
fixed                                  6
tandem                                 1
of                                   132
overhead                               1
11,000                                 3
on                                    28
activities                            20
fully                                  1
accrued                                1
1,000                                  2
listed                                 6
liquidity                              1
reported                               3
services                               3
support                                1
or                                    32
bonds                                  3
board                                  1
include                               10
category                               4
outpace                                1
operating                             20
them                                   1
then                                   4
performed                              1
will                                   6
reporting                              2
bodies                                 1
heading                                1
wear-and-tear                          1
maturity                               1
most                                   7
apparent                               1
remaining                              1
adjustment                             1
supported                              1
non-cash                               2
trademarks                             2
rather                                 2
closed                                 1
situation                              1
note                                   6
similar                                1
completed                              1
portion                                1
schemes                                1
criteria                               1
snapshot                               1
receipts                               4
true                                   1
prosperity                             1
25,000                                 4
product                                1
dividends                              6
promulgated                            1
$75,000                                1
per                                    3
item                                   1
account                                6
method                                10
within                                 3
subtracted                             3
produce                                2
follows                                2
second                                 2
last                                   2
equity                                29
investors                              3
being                                  2
inflows                                3
fraud                                 14
wages                                  1
almost                                 1
more                                   2
results                                4
january                                2
when                                   7
value                                  3
credit                                 2
required                               1
patents                                2
prepaid                                1
minus                                  1
26,000                                 1
such                                   7
decreased                              1
consist                                1
easier                                 1
means                                  2
amortization                           1
$8,000                                 7
comparison                             1
requires                               2
owned                                  1
arrive                                 4
statement                             55
amounts                                3
strong                                 1
decreases                              1
issues                                 1
called                                 2
owner                                  1
signifies                              1
included                               2
commonly                               2
this                                  13
expansion                              1
loss                                   5
goods                                  9
from                                  43
add                                    1
includes                               3
affect                                 2
investment                             2
considered                             2
was                                    4
distribute                             2
allows                                 1
if                                     6
192,000                                3
below                                  3
40,000                                 1
286,000                                2
compute                                1
spent                                  2
between                                3
less                                   2
revenue                                4
undistributed                          1
investments                            2
is                                    38
those                                  6
it                                    10
disclosures                            1
added                                  6
similarly                              1
important                              2
profitable                             2
into                                   1
agency                                 1
list                                   1
past                                   1
registration                           1
customers                              4
in                                    42
concepts                              10
know                                   1
section                                7
profits                                1
two                                    6
act                                    1
also                                   4
20xx                                   9
changes                                2
summary                                1
forecasts                              1
greater                                1
discussion                             1
appear                                 2
declines                               1
equipment                              4
received                               7
flow                                   2
its                                   13
obligations                            1
production                             1
occurs                                 1
eyes                                   1
practices                              1
financing                              6
although                               1
nature                                 2
e.g                                    6
reduced                                1
interest                               1
comprehensive                          3
depreciation                           5
year                                  31
supplies                               1
how                                    3
revenues                               6
under                                  3
loan                                   1
$192,000                               2
titled                                 1
7,000                                  4
ownership                              1
$200,000                               1
31                                     9
unspecified                            1
bottom                                 2
own                                    2
referred                               2
repairs                                1
acts                                   1
common                                 5
accordance                             1
next                                   6
advertising                            1
data                                   4
use                                    2
$70,000                                1
