Token                          Frequency
-----------------------------  ---------
to                                     2
recording                              1
store                                  1
for                                    2
remains                                1
automobile                             1
conducted                              1
equipment                              1
house                                  1
used                                   1
fixed                                  2
reconnaissance                         1
of                                     1
cautious—area                          1
more                                   1
surveillance                           2
when                                   3
thorough—but                           1
place                                  1
preparing                              1
move                                   2
be                                     4
such                                   1
watch                                  1
or                                     2
binoculars                             1
available                              1
he                                     1
observer                               2
exit                                   1
and                                    1
considerably                           1
stationary                             1
sound                                  1
than                                   1
devices                                1
stakeout                               2
might                                  2
can                                    1
have                                   1
truck                                  1
investigative                          1
subject                                1
one                                    2
about                                  1
apartment                              1
well                                   1
closer                                 1
detailed                               1
cameras                                1
readily                                1
with                                   1
is                                     2
observation                            1
it                                     1
a                                      5
as                                     1
the                                    3
should                                 3
planned                                1
electronic                             1
around                                 1
aids                                   1
base                                   1
necessary                              1
operations                             1

Totals:                     66        90
