Token                          Frequency
-----------------------------  ---------
to                                     3
2009                                   1
other                                  1
verify                                 1
most                                   1
since                                  1
fraud                                  2
w-2                                    1
used                                   1
forged                                 3
according                              1
were                                   1
title                                  1
are                                    2
scheme                                 1
income                                 1
statements                             1
bank                                   1
returns                                1
commitments                            1
forms                                  1
routinely                              1
similar                                1
reported                               1
information                            1
application                            1
schemes                                1
perpetuate                             1
such                                   1
asset                                  1
documents                              4
or                                     1
mortgage                               2
the                                    2
in                                     1
loan                                   1
falsified                              1
and                                    2
leases                                 1
fincen                                 1
altered                                1
tax                                    1
than                                   1

Totals:                     43        55
