Token                          Frequency
-----------------------------  ---------
allowed                                1
to                                     7
causing                                1
handle                                 1
second                                 1
location                               1
for                                    1
good                                   1
by                                     1
checks                                 1
used                                   1
where                                  3
party                                  1
outgoing                               1
must                                   2
been                                   1
has                                    1
who                                    1
third-party                            1
after                                  1
are                                    1
his                                    1
scheme                                 1
converts                               1
re-route                               1
fraudster                              2
depends                                1
endorsement                            3
be                                     2
signs                                  1
endorser                               1
or                                     1
endorsing                              1
disbursements                          1
he                                     2
intended                               1
third                                  1
and                                    3
that                                   1
them                                   1
company                                2
own                                    1
intercepts                             1
some                                   1
upon                                   1
position                               1
can                                    1
intercept                              1
way                                    1
forged                                 4
tampering                              1
name                                   2
pay                                    1
employee                               2
between                                1
all                                    1
steal                                  2
may                                    1
those                                  1
is                                     4
delivered                              2
it                                     6
schemes                                4
check                                  8
cases                                  1
matter                                 1
signed                                 3
a                                      9
as                                     1
the                                   11
access                                 1
in                                     6
gaining                                1
main                                   1
point                                  2
either                                 1
which                                  1
endorsements                           1
see                                    1
dilemma                                1
anyone                                 1
retrieve                               1
largely                                1
an                                     1
manner                                 1
flowchart                              1
also                                   1
intercepted                            1
handles                                1

Totals:                     89       157
