Token                          Frequency
-----------------------------  ---------
to                                     5
transactions                           3
auditor                                3
risks                                  1
for                                    1
motivations                            1
party                                  1
fraud                                  4
whether                                1
must                                   1
related                                2
auditors                               1
of                                     7
over                                   3
when                                   1
any                                    1
on                                     1
2011                                   1
misstatement                           2
these                                  2
1.238                                  1
financial                              4
deficiencies                           2
discovers                              1
period                                 1
inappropriate                          1
and                                    6
include                                1
further                                1
statement                              2
that                                   1
2                                      1
1                                      1
override                               1
company                                1
responsibilities                       1
due                                    1
examiners                              1
reporting                              1
management                             5
evaluate                               1
other                                  1
made                                   1
risk                                   2
icofr                                  1
journal                                1
controls                              10
engage                                 1
significant                            2
during                                 2
considerations                         1
if                                     1
unusual                                1
entries                                1
internal                               1
end                                    1
earnings                               1
mitigate                               1
•                                      5
responding                             1
estimates                              1
as                                     1
audit                                  2
the                                   13
should                                 1
in                                     2
adequately                             1
material                               2
pressures                              1
enacted                                1
adjustments                            1
process                                1
manual                                 1
address                                3
an                                     1
part                                   1
specifically                           1

Totals:                     77       146
