Token                          Frequency
-----------------------------  ---------
to                                     3
methods                                1
but                                    1
person                                 1
sometimes                              1
for                                    1
no                                     1
offenses                               1
its                                    1
fraud                                  4
conceal                                1
existence                              1
defrauded                              1
almost                                 1
of                                     2
are                                    1
given                                  1
unlike                                 1
ingenious                              1
any                                    1
only                                   1
bank                                   2
opinion                                1
be                                     2
concealing                             1
problems                               1
so                                     1
numerous                               1
or                                     2
offering                               1
vulnerable                             1
and                                    1
not                                    2
that                                   2
environment                            1
covers                                 1
even                                   1
steals                                 1
opinions                               1
legal                                  1
theft                                  1
does                                   2
might                                  2
result                                 1
embezzler                              1
other                                  1
specific                               1
threats                                1
examiner                               2
while                                  1
leave                                  1
—                                      2
money                                  1
exist                                  1
is                                     2
a                                      4
as                                     1
the                                    5
should                                 1
up                                     1
personally                             1
anyone                                 1
hidden                                 1
uses                                   1
method                                 1
force                                  1
within                                 1
part                                   1
also                                   1
robber                                 1

Totals:                     70        93
