Token                          Frequency
-----------------------------  ---------
they                                   2
greater                                1
risks                                  1
for                                    9
calculate                              1
applies                                1
higher                                 1
determine                              3
parts                                  1
its                                    2
perpetrated                            1
people                                 2
whether                                2
something—of                           1
sufficient                             1
of                                    22
significance                           1
help                                   1
are                                    5
scheme                                 3
forward                                3
comprehensive                          1
performing                             1
tolerance                              3
prevention                             1
on                                     3
2011                                   1
focus                                  1
something                              1
place                                  3
opportunities                          1
elements                               1
these                                  2
acfe                                   1
how                                    2
identify                               2
or                                     7
under                                  1
prevent                                2
bad                                    2
include                                1
content                                1
system                                 2
performed                              1
will                                   3
quality                                2
vulnerability                          2
each                                   2
components                             2
low                                    1
behave                                 3
mechanisms                             2
review                                 1
culture                                5
evaluate                               1
occupational                           1
put                                    1
behavior                               2
examines                               1
likelihood                             1
exposed                                1
preventive                             1
could                                  1
—                                      3
probability                            1
tailored                               1
entitlement                            3
internal                               2
pinpointing                            1
identifying                            1
aimed                                  1
4.820                                  1
may                                    1
•                                      9
tone                                   1
schemes                                5
zation                                 1
a                                      9
come                                   3
suggested                              1
helps                                  1
indicators                             3
value—out                              1
should                                 3
framework                              1
organi                                 1
deterrence                             1
pressures                              1
either                                 1
classification                         1
sustains                               1
detective                              1
based                                  1
methods                                1
to                                    17
macro-level                            2
apply                                  1
quotient                               5
provide                                1
both                                   1
prevent/detect                         4
by                                     1
used                                   2
where                                  2
fraud                                 25
has                                    4
assesses                               1
conduct                                1
looks                                  1
level                                  1
component                              1
when                                   1
three                                  1
overall                                2
be                                     5
index                                 16
get                                    1
such                                   2
likely                                 2
display                                1
sense                                  2
leaders                                2
and                                   10
that                                  19
particularly                           1
factors                                1
strong                                 1
promote                                1
than                                   1
company                                9
operate                                1
areas                                  2
examiners                              1
this                                   1
can                                    5
specific                               1
have                                   1
way                                    2
from                                   1
perceived                              2
includes                               1
affect                                 1
business                               5
evaluation                             1
risk                                  22
real                                   1
controls                               2
following                              1
organization                          12
if                                     1
suspect                                1
notification                           1
fraudsters                             1
population                             1
profile                                1
top                                    1
detect                                 2
those                                  2
is                                    11
it                                     2
standard                               1
leadership                             1
evaluating                             1
moderate                               1
at                                     6
greatest                               2
potential                              2
as                                     2
the                                   57
in                                     5
environmental                          4
manual                                 1
two                                    1
which                                  4
high-risk                              1
there                                  2
an                                    10
approach                               1
increase                               2
wrong                                  1
high                                   1
significantly                          2
assessment                             9
employees                              4

Totals:                    184       556
