Token                          Frequency
-----------------------------  ---------
to                                     1
questionable                           1
treatment                              5
excessive                              1
fraud                                  1
delaying                               1
of                                     5
thyroid                                1
brain                                  1
deep                                   1
discharges                             1
programs                               2
such                                   2
illegitimate                           1
or                                     3
psychiatric                            3
regard                                 1
sleep                                  1
and                                    2
abuses                                 1
wave                                   1
therapy                                4
extending                              1
non-approved                           1
insurance                              1
can                                    1
have                                   1
use                                    1
evaluation                             1
because                                1
following                              1
patients                               2
remaining                              1
tests                                  2
length                                 1
types                                  1
forms                                  1
drug                                   1
engaging                               1
•                                      3
with                                   1
synchronization                        1
as                                     2
the                                    4
in                                     2
dangerous                              1
memory                                 1
process                                1
retrieval/enhancement                  1
additional                             1
testing                                1
benefits                               1
magnet                                 1
occur                                  1

Totals:                     54        81
