Token                          Frequency
-----------------------------  ---------
insurance                              1
to                                     2
might                                  2
person                                 2
settlements                            1
for                                    1
easily                                 1
alive                                  1
fraudulent                             1
difficult                              1
posted                                 1
missing                                1
paid                                   1
certificate                            1
life                                   1
are                                    2
dead                                   1
required                               1
certificates                           1
be                                     2
phony                                  1
with                                   1
is                                     2
claims                                 2
relatively                             1
however                                1
or                                     1
death                                  5
a                                      1
reimbursement                          1
the                                    3
past                                   1
scrutinized                            1
much                                   1
and                                    3
not                                    2
that                                   1
obtain                                 2
small                                  1
closely                                1
very                                   1

Totals:                     41        58
