Token                          Frequency
-----------------------------  ---------
to                                     5
clues                                  1
provide                                1
reason                                 1
wish                                   1
sometimes                              2
narrative                              2
otherwise                              1
good                                   1
used                                   1
must                                   1
related                                1
of                                     3
free                                   2
are                                    1
given                                  1
event                                  1
when                                   1
only                                   1
occurrence                             1
be                                     2
sure                                   1
respondent                             2
narratives                             1
continuous                             1
get                                    1
or                                     2
under                                  1
controlled                             1
unnecessary                            1
prevent                                1
without                                2
and                                    1
not                                    1
that                                   2
digression                             1
discuss                                1
will                                   1
interruptions                          1
known                                  1
incident                               1
stop                                   1
minimum                                1
quick                                  1
about                                  2
use                                    1
orderly                                1
inquiry                                1
do                                     1
résumé                                 1
with                                   1
is                                     3
it                                     1
matter                                 2
a                                      3
you                                    1
the                                    6
talking                                1
valuable                               1
what                                   1
designate                              1
an                                     2
account                                1
partially                              1
things                                 1
prompting                              1
specifically                           1

Totals:                     67        93
