Token                          Frequency
-----------------------------  ---------
methods                                1
summary                                1
to                                     2
testifying                             1
provide                                3
basis                                  1
test                                   1
reason                                 1
for                                    1
by                                     2
fraud                                  1
used                                   3
sources                                2
of                                     2
avoid                                  1
exhibits                               1
any                                    2
report                                 4
on                                     1
2011                                   1
only                                   2
explored                               1
be                                     1
books                                  1
information                            2
support                                2
identify                               1
or                                     4
and                                    6
include                                2
cite                                   1
that                                   2
requested                              1
examiners                              1
conclusion                             1
opinions                               3
unimportant                            1
expert                                 6
other                                  1
specific                               1
have                                   1
minimum                                1
state                                  1
data                                   1
witness                                4
observations                           2
reach                                  1
following                              1
tests                                  1
generally                              1
if                                     1
written                                1
do                                     1
rationale                              1
all                                    2
individuals                            1
reached                                1
law                                    1
may                                    1
is                                     3
•                                      6
articles                               1
documents                              1
matter                                 1
a                                      3
at                                     1
as                                     2
list                                   2
the                                   15
in                                     1
should                                 1
standards                              1
manual                                 1
conclusions                            1
charts                                 1
gratuitous                             1
including                              3
what                                   2
an                                     2
provided                               1
necessary                              2
consulted                              1
2.806                                  1
based                                  1
graphs                                 1
comments                               1

Totals:                     86       153
