Token                          Frequency
-----------------------------  ---------
transactions                           1
for                                    1
jewelry                                1
by                                     1
travel                                 1
transportation                         1
fraud                                  1
recipient                              1
bribery                                2
of                                     3
free                                   2
briber                                 1
spouse                                 1
2011                                   1
gifts                                  3
on                                     1
financial                              1
wine                                   1
services                               1
such                                   1
contractor                             1
clothes                                1
or                                     2
jets                                   1
include                                1
and                                    5
consumable                             1
corporate                              1
items                                  1
corruption                             2
examiners                              1
improvements                           1
commonly                               1
liquor                                 1
home                                   1
favors                                 2
encountered                            1
most                                   1
use                                    1
1.715                                  1
lavish                                 1
paid                                   1
sexual                                 1
resort                                 1
construction                           1
facilities                             1
•                                      8
with                                   1
schemes                                1
a                                      1
as                                     1
the                                    2
vacations                              1
entertainment                          2
begin                                  1
manual                                 1
inventory                              1

Totals:                     57        79
