Token                          Frequency
-----------------------------  ---------
need                                   2
2007                                   1
external                               7
developed                              2
higher                                 1
covering                               1
accounting                             1
8.18                                   1
time                                   1
free                                   1
over                                   1
compared                               2
refer                                  1
levels                                 1
laws                                   6
2011                                  10
government                            12
adequacy                               1
these                                  6
quantify                               1
misrepresentation                      1
achieving                              1
number                                 2
3                                      1
2                                      4
1                                      4
corrective                             4
8.26                                   1
7                                      1
authorities                            2
frames                                 1
8.24                                   3
discuss                                1
5                                      1
8.25                                   1
4                                      1
8.22                                   1
quality                                2
8.23                                   1
8.21                                   1
8                                      1
letters                                1
go                                     1
audits                                25
assessing                              5
classifications                        1
judgment                               3
satisfy                                2
communications                         2
behavior                               2
qualitatively                          2
instances                              3
authority                              1
sufficiently                           1
could                                 11
consider                               1
current                                1
examined                               1
do                                     2
convincing                             1
member                                 1
experts                                1
d                                      1
may                                   17
e                                      1
b                                      4
c                                      2
detecting                              7
illegal                               27
needs                                  1
organizations                          5
a                                     43
increasing                             1
desired                                3
taking                                 2
standards                             38
independent                            1
including                              2
exists                                 3
analyses                               1
public                                14
resources                              1
transactions                          12
deficient                              1
auditor                                2
basis                                  2
communicating                          1
corroborating                          1
entity                                27
regulations                            7
award                                  1
by                                    14
aware                                  1
completion                             2
has                                   11
policies                               1
close                                  1
conduct                                1
pertaining                             1
would                                  5
facts                                  1
any                                    3
gagas                                 11
processing                             1
perspective                            1
opinion                                1
key                                    1
be                                     8
processes                              2
financial                             51
documented                             1
involves                               4
likely                                14
ascertain                              1
indicating                             1
interim                                1
and                                  110
factors                               10
items                                  1
override                               1
determining                            3
against                                2
examiners                             10
example                                3
large                                  1
governance                             9
does                                   5
nal                                    1
obtained                               2
measure                                1
set                                    1
evidence                              16
understanding                          3
through                                4
business                               4
response                               1
following                              8
organization                           1
chapter                                4
possible                               2
findings                              23
generally                              5
statements                            17
members                                1
all                                    2
individuals                            2
projected                              1
population                             1
law                                    3
five                                   1
communication                          5
depend                                 1
as                                    37
audit                                 72
still                                  4
planned                                1
methodology                            1
informed                               1
outcomes                               1
portions                               1
expected                               1
which                                  5
take                                   8
an                                    13
adding                                 1
assessment                             2
why                                    1
they                                  14
paragraph                              4
reason                                 1
determine                              5
involve                                2
sufficient                             6
of                                   160
operation                              1
abuse                                 31
errors                                 1
given                                  1
among                                  1
respond                                2
confirmation                           2
report                                30
only                                   3
on                                    27
activities                             1
limit                                  3
reported                               3
programs                               2
assists                                1
consequences                           4
preparation                            1
omissions                              1
or                                   134
identify                               4
entail                                 1
steps                                  9
distribution                           1
varies                                 1
include                                9
benchmarks                             1
then                                   4
performed                              3
will                                   2
oversight                              2
reporting                             27
measures                               3
records                                1
gao                                    3
publicly                               2
upon                                   1
different                              1
assistance                             2
investigative                          2
aspects                                2
occurred                              19
followed                               1
violations                            24
clear                                  1
unless                                 3
dollar                                 2
counsel                                2
internal                              11
situation                              3
identifying                            2
restatement                            1
criteria                               9
requesting                             1
officials                              8
pressures                              1
judging                                1
specified                              7
additional                             6
inconsistent                           1
within                                11
efficiency                             1
fieldwork                              1
design                                 3
stated                                 1
apply                                  4
cause                                  3
individual                             1
being                                  1
inconsistencies                        1
accountability                         1
fraud                                 69
eight                                  1
procedures                             7
prior                                  2
caused                                 1
related                                3
more                                   3
provisions                            28
results                                4
gather                                 1
family                                 1
when                                  20
value                                  1
action                                 3
developing                             2
misstatement                           3
required                               5
mandated                               1
relates                                2
competence                             1
argument                               1
reviews                                1
non-                                   1
appropriate                           15
objective                              2
such                                  24
contract                               3
means                                  1
assist                                 1
team                                   3
positively                             1
professional                           4
describing                             1
statement                              4
amounts                                3
susceptibility                         1
issues                                 1
proceedings                            4
citizens                               1
included                               1
this                                   3
scope                                  3
recognized                             1
conjunction                            1
writing                                2
from                                  14
believe                                1
applicable                             3
includes                               2
affect                                 2
requirements                           9
considered                             1
risk                                  11
staff                                  2
appropriately                          1
effectiveness                          1
considerations                         1
extent                                 4
if                                    13
various                                1
quantitative                           2
develop                                3
relevant                               3
less                                   1
between                                2
peer                                   1
those                                 17
is                                    36
it                                     3
extend                                 1
important                              1
violation                              2
agreement                              2
agency                                 4
in                                    43
adequately                             1
section                                1
two                                    2
ongoing                                1
opportunity                            1
objectives                            24
negatively                             1
plan                                   2
implementation                         1
necessary                              4
distributing                           1
discussed                              4
act                                    2
also                                   6
quantitatively                         2
discussion                             2
satisfied                              1
received                               3
yellow                                 2
its                                    4
associate                              1
practices                              2
nature                                 2
reduced                                1
communicate                            6
4.28                                   1
governmental                           1
occurring                              1
entirely                               1
place                                  1
preparing                              1
elements                               8
responsibility                         1
serve                                  1
deficiencies                           7
reviewing                              1
defined                                2
contents                               1
how                                    2
prevalence                             1
under                                  3
paragraphs                             2
5.19                                   1
5.18                                   3
misuse                                 1
5.21                                   1
5.22                                   1
independence                           1
recommendations                        3
5.20                                   1
assurance                             10
acts                                  25
give                                   1
fails                                  4
common                                 1
accordance                             3
inconsistency                          1
data                                   3
4.11                                   1
aligning                               1
states                                 1
use                                    1
4.12                                   1
4.10                                   1
4.15                                   2
4.16                                   1
resulting                              3
4.13                                   1
4.14                                   2
absolute                               1
document                               2
personal                               1
designed                               1
significant                           20
—                                      4
agreements                            30
assess                                 4
rationalizations                       1
dismissed                              2
sensitive                              1
improper                               2
direct                                 2
•                                     24
previous                               2
attainable                             1
