Token                          Frequency
-----------------------------  ---------
to                                     7
punitive                               1
cause                                  2
knowing                                1
exemplary                              1
least                                  1
knew                                   1
by                                     1
perform                                1
has                                    2
caused                                 1
of                                     4
although                               1
are                                    2
would                                  1
basic                                  1
when                                   1
exact                                  1
action                                 1
elements                               1
be                                     1
consequences                           1
defined                                1
victim                                 2
or                                     1
likely                                 1
regards                                1
available                              1
he                                     1
and                                    1
varies                                 1
further                                2
that                                   4
damages                                1
failure                                1
consciously                            1
committed                              2
intentional                            2
steals                                 1
this                                   1
harm                                   3
gross                                  3
can                                    1
interests                              1
one                                    1
about                                  1
employer                               3
state                                  1
from                                   1
was                                    1
breached                               1
duty                                   3
if                                     2
generally                              2
—                                      1
substantially                          1
best                                   1
civil                                  1
employee                               5
defendant                              2
note                                   1
is                                     1
it                                     1
definition                             1
disregard                              1
liable                                 1
a                                      2
at                                     1
as                                     1
the                                   18
in                                     3
reckless                               1
an                                     2
act                                    3
found                                  1
occur                                  1
negligence                             3

Totals:                     77       136
