Token                          Frequency
-----------------------------  ---------
birth                                  1
for                                    1
ficate                                 1
its                                    1
race                                   1
city                                   1
of                                     3
time                                   1
conduct                                1
certificate                            3
medical                                1
social                                 1
age                                    1
deceased                               2
place                                  1
these                                  1
be                                     1
occupations                            1
information                            2
or                                     3
death                                  5
number                                 1
code                                   2
health                                 4
and                                    6
birthplace                             1
county                                 1
records                                1
owners                                 1
might                                  1
parents                                1
sex                                    1
can                                    1
additionally                           1
have                                   1
department                             1
about                                  2
state                                  1
most                                   1
departments                            2
coroner                                1
security                               1
routine                                1
date                                   2
businesses                             1
business                               1
violations                             1
generally                              1
inspections                            1
name                                   1
usually                                1
certificates                           1
inspectors                             1
a                                      2
at                                     1
provides                               2
the                                    6
fire                                   3
valuable                               1
safety                                 1
address                                1
local                                  1
operations                             1
their                                  1
certi                                  1
employees                              1
found                                  1

Totals:                     67       100
