Token                          Frequency
-----------------------------  ---------
to                                     3
issuers                                1
considerable                           1
by                                     1
since                                  1
long                                   1
used                                   1
been                                   1
assesses                               1
after                                  1
of                                     2
takes                                  1
conservative                           1
losses                                 1
feature                                1
industry                               1
credit                                 1
cards                                  1
limit                                  1
however                                1
1980s                                  1
few                                    1
not                                    1
that                                   1
issuer                                 1
emerging                               1
$2,000                                 1
devices                                1
this                                   1
early                                  1
have                                   1
one                                    1
security                               1
fraudulent                             1
add                                    1
was                                    2
accurate                               1
circulation                            1
if                                     1
asia                                   1
it                                     2
a                                      2
at                                     1
as                                     1
the                                    3
in                                     2
holograms                              2
up                                     1
implementation                         1
average                                1
found                                  1
very                                   1
counterfeiting                         1

Totals:                     53        63
