Token                          Frequency
-----------------------------  ---------
to                                     1
manufacturing                          1
can                                    2
consumption                            2
mask                                   1
around-the-clock                       1
kind                                   1
lights                                 1
continuously                           1
operation                              2
of                                     4
possible                               1
during                                 1
levels                                 1
highly                                 1
on                                     1
power                                  2
left                                   1
activity                               1
sensitive                              2
be                                     3
kept                                   1
uniform                                1
or                                     1
hours                                  2
as                                     2
the                                    1
research                               1
should                                 1
and                                    3
testing                                1
operations                             2
maintained                             1
some                                   1

Totals:                     34        49
