Token                          Frequency
-----------------------------  ---------
they                                   1
for                                    2
risks                                  7
zoom                                   1
particular                             1
people                                 2
whether                                1
of                                    17
time                                   1
help                                   1
significance                           2
are                                    3
nature                                 1
nonexistent                            1
respond                                1
prevention                             1
tolerance                              1
2011                                   1
only                                   1
on                                     1
occurrence                             2
consists                               1
working                                1
4.829                                  1
ineffective                            1
strategies                             1
monitoring                             1
acfe                                   1
identify                               5
or                                     7
answer                                 1
questions                              3
residual                               4
responses                              1
not                                    1
operating                              1
them                                   1
each                                   2
introduction                           1
review                                 1
upon                                   1
dynamic                                1
series                                 1
evaluate                               3
knowledge                              1
most                                   1
use                                    1
15                                     1
updating                               1
likelihood                             2
effective                              1
costs                                  1
resulting                              1
extensive                              1
designed                               1
preventive                             2
map                                    1
assess                                 1
internal                               1
may                                    1
module                                 1
•                                      7
snapshot                               1
organizations                          2
a                                      3
evaluated                              1
deterrence                             1
should                                 4
process                                1
point                                  1
remain                                 1
within                                 1
detective                              2
to                                    13
methods                                1
reveal                                 1
managers                               1
client                                 4
versus                                 1
terms                                  1
tool                                   3
aware                                  1
by                                     2
used                                   1
fraud                                 19
identified                             2
completion                             1
been                                   1
together                               1
who                                    1
auditors                               1
level                                  1
results                                1
commit                                 1
any                                    1
unacceptably                           1
light                                  1
be                                     3
processes                              1
financial                              1
work                                   2
effectively                            1
inherent                               1
however                                1
appropriate                            1
such                                   1
select                                 1
likely                                 2
efficiently                            1
lack                                   1
professional                           4
requires                               1
and                                   13
that                                   3
employers                              1
company                                1
containing                             1
due                                    1
areas                                  1
examiners                              2
this                                   1
can                                    1
have                                   2
employer                               3
existing                               1
departments                            1
routine                                1
from                                   1
risk                                   8
controls                               4
mitigation                             1
organization                           2
order                                  2
develop                                1
non-compliance                         1
relevant                               1
all                                    1
mitigated                              1
is                                     1
with                                   5
it                                     1
important                              1
provides                               1
as                                     1
potential                              1
the                                   25
in                                     7
adequately                             1
vulnerabilities                        1
begin                                  1
manual                                 1
which                                  1
an                                     1
benefits                               1
high                                   1
certain                                1
operations                             1
their                                  3
modules                                1
assessment                             8
clients                                1

Totals:                    161       339
