Token                          Frequency
-----------------------------  ---------
to                                     5
guide                                  1
for                                    1
normal                                 1
terms                                  1
fraud                                  4
where                                  1
must                                   1
course                                 1
of                                     3
are                                    2
on                                     1
focus                                  1
activities                             4
involves                               1
however                                1
identify                               1
companies                              1
prevent                                1
vulnerable                             2
many                                   1
not                                    1
that                                   2
company                                3
management                             1
different                              1
exposure                               1
put                                    1
most                                   3
from                                   1
business                               2
risk                                   2
organization                           1
order                                  1
generally                              1
all                                    1
is                                     1
it                                     1
happening                              1
engages                                1
at                                     1
greatest                               1
equal                                  1
increasing                             1
the                                   10
helps                                  1
in                                     3
know                                   1
really                                 1
what                                   1
assessment                             1

Totals:                     51        83
