Token                          Frequency
-----------------------------  ---------
to                                     8
using                                  1
location                               1
for                                    2
no                                     1
forensically                           1
duplicator                             1
disk                                   1
determine                              1
type                                   1
fraud                                  1
procedures                             1
must                                   1
has                                    1
after                                  1
avoid                                  1
of                                     2
created                                1
drive                                  8
capture                                1
preserved                              1
2011                                   1
forensics                              1
investigation                          1
proper                                 1
be                                     2
sure                                   1
onto                                   1
information                            1
involves                               1
duplicate                              1
or                                     3
image                                  6
imaged                                 1
prevent                                1
imaging                                3
and                                    3
withstand                              1
that                                   2
system                                 1
sound                                  1
3.720                                  1
will                                   1
examiners                              2
known                                  1
some                                   1
make                                   1
this                                   1
media                                  1
legal                                  1
computer                               1
other                                  1
can                                    1
before                                 1
evidence                               1
secure                                 1
use                                    1
altering                               1
tape                                   1
examiner                               3
standalone                             1
analysis                               1
digital                                1
because                                1
acquisition                            2
another                                1
tampering                              1
acquiring                              1
duplicated                             1
during                                 1
written                                1
best                                   1
suspect                                1
hard                                   5
ensure                                 1
similar                                1
application                            1
facilitate                             1
is                                     5
a                                      7
write-protection                       1
as                                     1
the                                   13
in                                     1
should                                 2
manual                                 1
therefore                              1
process                                2
moved                                  1
entire                                 1
challenge                              1
an                                     1
original                               2
device                                 2
method                                 1
manner                                 1

Totals:                     96       159
