Token                          Frequency
-----------------------------  ---------
to                                     4
they                                   1
discussion                             1
reducing                               2
for                                    1
by                                     1
awareness                              3
him                                    1
fraud                                 11
open                                   3
are                                    3
his                                    3
forward                                1
someone                                1
when                                   1
report                                 1
prevention                             1
care                                   1
on                                     1
2011                                   1
role                                   1
occurring                              1
fraudster                              1
be                                     1
rationalize                            1
preventing                             1
bad                                    1
and                                    7
that                                   2
examiners                              1
vulnerability                          1
does                                   1
might                                  1
conducting                             1
raise                                  1
can                                    3
behavior                               1
perception                             1
vehicle                                1
catch                                  1
about                                  5
improve                                1
empowered                              1
risk                                   2
organization                           3
reminded                               1
if                                     1
suspect                                1
4.804                                  1
ability                                1
is                                     1
communication                          3
deter                                  1
a                                      4
play                                   1
potential                              1
come                                   1
increasing                             1
the                                    3
conversations                          1
deterrence                             1
in                                     3
up                                     1
manual                                 1
great                                  1
engaged                                1
an                                     2
themselves                             1
assessment                             2
also                                   1
actions                                1
employees                              2

Totals:                     72       122
