Token                          Frequency
-----------------------------  ---------
no                                     1
conducted                              2
misappropriated                        1
city                                   1
of                                     8
esq                                    1
mr./ms                                 1
are                                    1
nature                                 1
given                                  1
on                                     1
2011                                   1
misappropriation                       1
voluntary                              1
books                                  2
information                            1
support                                1
under                                  1
not                                    1
predicated                             1
conclusion                             1
records                                1
upon                                   1
we                                     1
examination                            8
inconclusive                           2
accordance                             1
techniques                             1
date                                   1
resulting                              1
]                                      2
internal                               1
[                                      2
assurances                             1
a                                      3
insufficient                           1
based                                  1
to                                     1
evidence-gathering                     1
by                                     1
interviews                             1
dear                                   1
fraud                                  6
procedures                             1
auditors                               1
were                                   1
personnel                              1
results                                1
4.101                                  1
concerning                             1
be                                     1
appropriate                            1
however                                1
such                                   1
code                                   1
and                                    2
assets                                 2
that                                   2
company                                4
examiners                              1
included                               1
this                                   1
does                                   1
other                                  1
can                                    1
have                                   1
department                             1
evidence                               2
state                                  1
currently                              1
routine                                1
from                                   1
re                                     1
was                                    2
because                                1
possible                               1
name                                   2
question                               1
exist                                  1
law                                    1
zip                                    1
with                                   1
is                                     1
sincerely                              1
circumstances                          1
audit                                  1
as                                     1
the                                    7
in                                     2
manual                                 1
which                                  1
address                                1
an                                     1
there                                  1
lawful                                 1
necessary                              1
our                                    3

Totals:                     97       141
