Token                          Frequency
-----------------------------  ---------
to                                     2
transactions                           2
second                                 1
basis                                  1
for                                    3
external                               1
$25,000                                1
perform                                1
auditors                               1
amount                                 1
of                                     2
help                                   1
more                                   1
on                                     2
opinion                                1
be                                     1
reviews                                1
such                                   1
or                                     3
consultants                            1
loan                                   4
and                                    1
that                                   1
performed                              1
than                                   1
this                                   2
review                                 4
typically                              1
other                                  1
can                                    1
loss                                   1
allows                                 1
dollar                                 1
internal                               1
all                                    1
is                                     1
regular                                1
a                                      4
establish                              1
as                                     1
provides                               1
established                            1
the                                    2
should                                 1
nonpartisan                            1
loans                                  3
independent                            3
either                                 1
reserves                               1
an                                     1
approach                               1
certain                                1
consistent                             1
$100,000                               1

Totals:                     54        77
