Token                          Frequency
-----------------------------  ---------
they                                   2
for                                    1
of                                     2
open                                   1
operation                              1
cover                                  2
sales                                  2
2011                                   1
on                                     1
year                                   1
substantial                            1
these                                  1
services                               1
million                                1
companies                              1
many                                   1
not                                    1
telemarketer                           2
funds                                  1
start                                  1
telemarketing                          1
reputable                              1
will                                   1
reserve                                1
telemarketers                          1
face                                   1
typically                              1
institutions                           1
estimate                               1
and/or                                 1
dollar                                 1
do                                     1
1.1712                                 1
post                                   1
organizations                          2
a                                      6
enormous                               1
circumvent                             1
independent                            2
days                                   1
incur                                  1
swindled                               1
successful                             1
quickly                                1
banks                                  3
to                                     8
behalf                                 1
realize                                1
transactions                           1
phone                                  3
mastercard                             1
chargebacks                            2
obstacle                               1
difficulty                             1
consumer                               1
fraud                                  3
been                                   1
has                                    1
who                                    1
amount                                 1
when                                   2
any                                    1
card                                   1
losses                                 3
difficulties                           1
bank                                   2
credit                                 1
directly                               1
required                               1
cards                                  1
hire                                   1
be                                     1
financial                              1
charges                                1
however                                1
so                                     1
$300                                   1
consumers                              1
and                                    2
issuer                                 1
often                                  1
company                                2
examiners                              1
even                                   1
ccounts                                1
visa                                   1
this                                   1
large                                  1
can                                    1
loss                                   2
have                                   3
protest                                1
dealing                                1
from                                   4
business                               1
businesses                             1
leaving                                1
bond                                   2
because                                1
organization                           1
protected                              1
federal                                1
rate                                   1
if                                     1
agrees                                 1
depleted                               1
60                                     1
half-million                           1
law                                    1
credit-processing                      1
with                                   4
is                                     2
accounts                               1
gives                                  1
at                                     1
potential                              1
the                                   12
customers                              1
in                                     1
securing                               1
manual                                 1
which                                  1
absorb                                 1
learned                                1
service                                5
approach                               1
high                                   1
operations                             1
their                                  3
also                                   1

Totals:                    130       190
