Token                          Frequency
-----------------------------  ---------
variances                              1
handle                                 1
benefit                                1
etc                                    1
accounting                             2
checks                                 7
production                             2
spot                                   1
punched                                1
time                                   4
approved                               4
references                             1
compared                               2
2011                                   1
preparing                              1
signature                              1
these                                  1
asset                                  1
adequate                               2
3                                      3
2                                      5
1                                      5
independently                          1
6                                      1
5                                      1
4                                      1
sick                                   2
before                                 1
comparing                              1
data                                   1
made                                   2
fraudulent                             1
wage                                   2
leave                                  1
worked                                 1
do                                     3
hires                                  1
notice                                 1
direct                                 1
•                                     29
flags                                  1
a                                     10
rates                                  2
indicators                             1
up                                     1
yes                                    1
independent                            1
new                                    1
red                                    1
presence                               1
sequence                               1
maintained                             2
checked                                2
to                                    15
transactions                           1
entity                                 1
distributed                            1
by                                     9
policies                               1
who                                    3
withholding                            1
personnel                              4
bank                                   4
contributions                          1
presented                              1
be                                     1
financial                              1
control                                3
reports                                2
schedules                              1
whose                                  1
disbursements                          2
period                                 2
and                                   27
sign                                   1
that                                   1
involved                               1
items                                  1
names                                  1
against                                1
than                                   1
cash                                   1
examiners                              1
factory                                1
rotated                                1
does                                   2
payroll                               26
timekeeping                            1
set                                    1
department                             3
well                                   1
indirect                               1
bonuses                                1
commissions                            1
following                              1
redeposited                            1
pay                                    2
unusual                                1
employee                               3
activity                               1
all                                    3
drawn                                  1
functions                              1
separate                               1
accounts                               2
deductions                             3
at                                     2
audit                                  1
as                                     2
vacations                              1
general                                3
actual                                 1
timely                                 1
numerical                              1
certain                                1
ledger                                 3
employees                              9
out                                    1
they                                   1
exemptions                             1
person                                 1
for                                   12
liability                              2
distributions                          2
of                                    15
help                                   2
are                                   24
periodically                           3
file                                   1
on                                     1
reconciled                             4
misappropriation                       1
timecards                              2
preparation                            1
hours                                  2
or                                     4
prepare                                1
distribution                           4
without                                1
include                                1
not                                    5
vacation                               1
funds                                  1
tax                                    1
supervisor                             2
unclaimed                              1
will                                   1
records                                4
different                              1
subject                                1
holidays                               1
reviewed                               6
paid                                   2
scrutinizing                           1
accurate                               1
unless                                 1
detailed                               1
unissued                               1
end                                    1
completed                              1
authorized                             1
clock                                  2
signed                                 4
subsequent                             1
restricted                             1
officials                              1
access                                 2
budgeted                               1
plates                                 1
terminated                             1
account                                5
taxes                                  1
custody                                1
canceled                               1
authorization                          1
show                                   1
compliance                             2
fraud                                  3
used                                   2
workers                                1
been                                   1
wages                                  3
procedures                             3
related                                1
function                               2
prior                                  1
regularly                              1
analyzed                               1
fictitious                             1
someone                                1
supervisory                            1
official                               1
returns                                1
required                               1
directly                               1
head                                   1
prenumbered                            1
census                                 1
authorizations                         1
appropriate                            2
issued                                 1
designated                             4
1.571                                  1
filing                                 1
amounts                                2
program                                1
company                                2
policy                                 1
installing                             1
other                                  1
have                                   4
departments                            1
writing                                1
prepares                               1
sends                                  1
if                                     2
notification                           1
exist                                  1
forms                                  1
office                                 1
with                                   5
is                                    10
check                                  3
backgrounds                            1
agreement                              1
the                                   27
addition                               1
in                                     7
reconciliation                         1
manual                                 1
plan                                   1
endorsements                           1
identification                         1
registers                              2
special                                2
their                                  1
remained                               1
advance                                1
overtime                               1
changes                                1

Totals:                    240       577
