Token                          Frequency
-----------------------------  ---------
insurance                              1
to                                     1
replacement                            1
bill                                   1
treatment                              2
by                                     1
paid                                   1
providers                              1
order                                  1
generally                              1
be                                     1
covered                                1
is                                     1
services                               1
however                                1
such                                   1
infertility                            2
a                                      1
as                                     1
in                                     1
not                                    1
less-than-honest                       1
hormonal                               1
service                                1
will                                   1
some                                   1
therapy                                1

Totals:                     27        29
