Token                          Frequency
-----------------------------  ---------
plastic                                1
clutter                                1
external                               1
particular                             2
desktop                                3
parts                                  1
chance                                 2
bribery                                1
time                                   4
compared                               1
materials                             11
schooled                               1
created                                1
advanced                               3
duties                                 1
video                                  1
intelligence                           6
these                                  3
loading                                4
extract                                1
few                                    1
comings                                1
sloppy                                 1
shuffled                               1
discuss                                1
opening                                1
each                                   1
viewing                                1
messy                                  2
moral                                  1
knowledge                              2
communications                         1
behavior                               2
protruding                             1
rival                                  1
ignorance                              1
training                               2
times                                  1
guard                                  2
usually                                4
tell                                   1
misappropriate                         1
sophisticated                          2
member                                 1
keys                                   2
invisible                              1
a                                    120
bars                                   1
digging                                1
indicators                             1
taking                                 1
electronic                             3
messiness                              1
new                                    2
red                                    1
having                                 2
penetrates                             1
public                                 1
clipboard                              2
greed                                  1
libraries                              1
transactions                           7
visible                                1
client                                 1
basis                                  4
change                                 2
exception                              1
broadcast                              1
envelope                               8
bins                                   1
screened                               1
long-range                             1
has                                   11
ph.d.s                                 1
policies                               1
expenses                               1
trapped                                1
software                               1
intruders                              1
medical                                1
personnel                              5
bank                                   4
friday                                 1
conducive                              1
mandatory                              1
label                                  2
code                                   2
overalls                               1
sign                                   6
particularly                           3
factors                                1
items                                  2
often                                  4
secrets                                3
impunity                               1
areas                                 11
recruiting                             1
make                                   5
large                                  2
room                                   5
raw                                    1
indicator                              1
deliberately                           1
obtained                               1
planted                                1
through                                6
drawers                                2
business                               2
hotels                                 2
following                              1
possible                               1
especially                             2
trained                                4
locate                                 1
activity                               2
keeps                                  1
law                                    1
mail                                   2
educating                              1
obviously                              1
messed                                 1
colleague                              1
viewed                                 1
vacations                              1
compromised                            2
loitering                              2
moved                                  1
never                                  1
great                                  2
which                                  3
source                                 1
anyone                                 5
there                                 10
inside                                 2
maid                                   1
tellers                                1
counterfeiting                         1
suspicious                             2
strangers                              1
knowing                                1
somehow                                1
pilfered                               1
permitted                              1
help                                   2
report                                 3
misappropriation                       1
her                                    2
entering                               1
reported                               1
identify                               1
job                                    2
establishing                           1
zones                                  1
will                                  20
furthermore                            1
bar                                    1
incident                               1
vehicle                                1
easily                                 1
express                                3
decision                               1
susceptible                            1
clear                                  1
labeling                               1
clean                                  1
visiting                               1
long-                                  1
rather                                 3
hiring                                 2
note                                   1
kept                                   1
vendor                                 2
movie                                  1
method                                 2
telephone                              2
warning                                1
midst                                  1
monday                                 1
authorization                          3
him                                    3
every                                  1
where                                 10
type                                   1
scanned                                1
his                                    6
surveillance                           4
keypad                                 1
under-utilized                         1
copying                                1
eye                                    1
onto                                   1
asking                                 1
contract                               3
easier                                 2
locking                                1
opposition                             1
printing                               1
enter                                  5
corporate                              6
affixes                                1
on-site                                1
acting                                 1
steaming                               1
quick                                  1
security                              21
while                                  3
addiction                              2
résumé                                 1
major                                  2
drug                                   1
political                              1
recruits                               1
into                                   9
rig                                    1
problem                                1
luxury                                 1
schedule                               1
identification                         1
naked                                  1
night                                  2
also                                  10
technique                              1
professionals                          1
e-mailed                               1
appear                                 1
etc                                    3
e-mail                                 1
maintain                               2
equipment                              1
checks                                 1
hung                                   1
punched                                1
recruit                                2
workstations                           1
unknowingly                            1
interest                               1
janitorial                             2
movements                              1
impenetrable                           1
supplier                               1
copy                                   3
signs                                  4
lying                                  3
contents                               3
operatives                             1
indicated                              1
log                                    1
unprotected                            1
badges                                 9
system                                 1
travels                                1
lot                                    2
charlie                                1
magnetic                               4
low                                    2
devices                                1
theft                                  9
sort                                   2
sought                                 1
use                                    4
difficult                              5
letting                                1
life                                   1
archived                               1
agreements                             2
best                                   2
procedure                              1
stools                                 1
sensitive                             20
site                                   4
applicants                             1
•                                     30
holder                                 1
transactional                          1
documents                              9
infiltrator                            2
come                                   3
trespassing                            1
seen                                   2
seem                                   3
exhibit                                1
works                                  3
either                                 1
original                               1
down                                   1
quickly                                1
intrusion                              3
pastes                                 1
supposed                               2
perform                                1
good                                   1
requiring                              1
identified                             1
must                                   2
removal                                1
card                                   4
lunch                                  1
control                                2
contractor                             1
saved                                  1
places                                 3
docks                                  5
cost                                   1
difference                             1
closets                                1
early                                  1
legal                                  1
attempt                                2
car                                    1
can                                   26
generate                               1
suspects                               1
federal                                2
printouts                              1
unusual                                1
question                               4
placed                                 1
profile                                1
accounts                               4
delivered                              3
regular                                1
thus                                   1
general                                2
reference                              1
representative                         1
increase                               1
scan                                   1
high                                   2
ups                                    1
very                                   3
automated                              1
person                                 7
instructed                             1
baskets                                1
people                                 2
stock                                  1
guards                                 2
income                                 1
opaque                                 1
spies                                 15
performing                             1
laptop                                 1
credentials                            3
heels                                  1
working                                1
disclose                               1
coworkers                              1
hours                                  2
cds                                    1
again                                  1
like                                   2
not                                   15
many                                   1
collectors                             1
visual                                 2
covert                                 1
now                                    1
covers                                 1
say                                    1
bearing                                1
screens                                1
saw                                    1
some                                   8
outside                                3
suddenly                               1
secure                                 2
techniques                             2
copy—                                  1
watched                                1
fairly                                 1
computers                              1
and/or                                 1
