Token                          Frequency
-----------------------------  ---------
total                                  9
need                                   1
analyzing                              1
using                                  3
placing                                1
billings                               2
determines                             1
maintain                               1
developed                              1
higher                                 1
incurred                               1
parts                                  1
58720                                  1
its                                    1
coded                                  1
checks                                 1
occurs                                 1
practices                              1
time                                   1
providers                              7
comprehensive                          3
noncovered                             1
2011                                   3
year                                   1
procedural                             1
photocopier                            1
detected                               1
predefined                             1
knee                                   3
substantial                            1
these                                  4
&                                      1
terminology                            1
cholecystectomy                        3
under                                  2
number                                 4
vulnerable                             1
rendered                               3
fee                                    5
misuse                                 1
overpaid                               1
49000                                  1
system                                 4
white-outs                             1
codes                                 12
components                             1
keeping                                1
each                                   3
examples                               1
$1,300                                 2
bills                                  1
computer                               2
approvers                              1
uniformly                              1
typically                              1
hysterectomy                           2
common                                 5
prescription                           2
exclusive                              1
simple                                 1
before                                 2
accordingly                            1
expensive                              2
use                                    3
examiner                               1
consequently                           1
difficult                              3
date                                   2
58740                                  1
training                               1
patient                                5
erasures                               1
american                               1
current                                1
tubes                                  1
procedure                              4
$1650                                  1
member                                 1
look                                   1
may                                    2
•                                      9
payment                                5
detecting                              1
documents                              1
a                                     19
front                                  1
printer                                1
represent                              1
standards                              1
billing                                4
new                                    4
either                                 1
altered                                4
fact                                   1
including                              1
expense                                1
days                                   2
accurately                             1
reimbursed                             1
original                               2
coding                                 5
to                                    20
transactions                           3
basis                                  1
minor                                  1
change                                 1
$1625                                  1
lead                                   1
perform                                1
by                                     8
impossible                             1
same                                   1
identified                             1
eligible                               1
must                                   1
surgery                                6
policies                               1
descriptions                           1
exploration                            3
who                                    2
after                                  2
amount                                 1
removal                                1
medical                                4
faced                                  1
would                                  1
component                              3
intentionally                          1
any                                    2
care                                   4
processing                             1
instance                               1
paying                                 2
be                                    10
financial                              3
involves                               2
claims                                11
charges                                2
schedules                              1
however                                1
submit                                 1
so                                     1
association                            1
cpt                                    3
submitting                             2
code                                   6
period                                 4
cost                                   1
charged                                1
reduce                                 1
and                                   12
that                                  13
detection                              1
unbundling                             4
often                                  2
than                                   3
containing                             1
examiners                              3
require                                1
maximize                               1
example                                2
make                                   1
attempt                                1
reimbursements                         1
valid                                  1
acceptable                             1
compounded                             1
combinations                           1
bile                                   2
physicians                             3
bill                                   5
can                                    9
set                                    2
47610                                  1
today                                  1
through                                1
well                                   3
$1,997                                 2
possible                               1
following                              1
arthroscopy                            3
name                                   2
above                                  1
all                                    3
pad                                    1
47600                                  1
investigators                          1
abdomen                                1
complexities                           1
as                                    10
provider                               3
inflated                               2
accompanying                           1
minimize                               1
ovaries                                1
improperly                             1
soon                                   1
manipulation                           3
never                                  1
charge                                 3
which                                  4
coverage                               1
an                                     2
service                                8
inadvertently                          1
provided                               1
actual                                 1
scam                                   1
claim                                  2
visits                                 3
adding                                 1
they                                   2
for                                   26
determine                              1
excessive                              1
whether                                1
of                                    25
obvious                                1
abuse                                  1
help                                   1
are                                    9
accepted                               3
$550                                   1
describe                               2
on                                     3
appendectomy                           1
$950                                   1
diagnostic                             1
listed                                 1
upcoding                               3
services                              12
form                                   2
44955                                  1
or                                     7
identify                               3
submitted                              1
microfilmed                            1
prevent                                1
health                                 5
inappropriate                          1
overpayment                            1
include                                2
not                                    2
record                                 1
abuses                                 1
verification                           1
performed                              1
will                                   1
medicare                               1
58150                                  1
some                                   3
$3,721                                 1
encountered                            1
most                                   4
altering                               2
$3,275                                 1
proficiency                            1
space                                  1
29877                                  1
private                                1
violations                             1
looking                                1
patients                               1
29870                                  1
destroyed                              1
dates                                  1
rather                                 1
want                                   1
identifying                            2
$671                                   1
covered                                2
$1,650                                 1
schemes                                1
cases                                  2
correctly                              1
established                            1
insurers                               6
already                                2
should                                 1
$250                                   1
pen                                    1
process                                2
billed                                 2
additional                             2
$2,702                                 1
individual                             1
narrative                              1
variation                              1
being                                  1
enable                                 1
difficulty                             3
charges/fragmentation                  1
type                                   1
fraud                                  8
together                               2
procedures                             9
related                                6
prior                                  2
changed                                4
more                                   5
accomplished                           1
level                                  2
procedure—such                         1
family                                 1
when                                   4
value                                  1
proper                                 1
scanner                                1
work                                   1
substitution—filling                   1
such                                   1
contract                               1
$705                                   1
global                                 3
surgery—as                             1
ink                                    1
adjusters                              1
amounts                                1
environment                            1
program                                1
called                                 1
this                                   4
generic                                1
alteration                             1
lysis                                  1
other                                  1
have                                   2
illustrated                            1
one                                    6
becomes                                1
from                                   2
complicated                            1
includes                               5
add                                    2
dishonest                              1
while                                  1
was                                    2
because                                6
mutually                               1
during                                 1
adhesions                              1
attempts                               1
below                                  1
fraudsters                             1
1.1225                                 1
less                                   1
major                                  2
1.1226                                 1
drug                                   2
1.1227                                 1
with                                   6
is                                    14
debridement                            2
it                                     3
duct                                   2
added                                  1
important                              1
problem                                1
the                                   48
in                                     7
manual                                 3
insureds                               1
special                                1
their                                  2
also                                   1
alterations                            3
changes                                1
storage                                1

Totals:                    368       906
